row_label_raw,row_label_full,Số đầu năm > Trích lập thêm trong năm,Đơn vị tính: VND > Năm nay > 22.819.154.363 > 34.829.724.000,Đơn vị tính: VND > Năm trước > 19.462.576.559 > 52.686.305.125,numeric__Đơn vị tính: VND > Năm nay > 22.819.154.363 > 34.829.724.000,numeric__Đơn vị tính: VND > Năm trước > 19.462.576.559 > 52.686.305.125
Tăng khác,Tăng khác,Tăng khác,736.926.000,-,736926000.0,
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,(38.505.414.737),(49.329.727.321),-38505414737.0,-49329727321.0
Số cuối năm,Số cuối năm,Số cuối năm,19.880.389.626,22.819.154.363,19880389626.0,22819154363.0
