row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,214.228.338.491,197.910.479.866,214228338491.0,197910479866.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,214.228.338.491,197.910.479.866,214228338491.0,197910479866.0
