row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > 971.520.000.000,Năm trước > 865.920.000.000,numeric__Năm nay > 971.520.000.000,numeric__Năm trước > 865.920.000.000
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,,,
Tạm ứng cổ tức bằng tiền cho năm 2025:,Tạm ứng cổ tức bằng tiền cho năm 2025:,Tạm ứng cổ tức bằng tiền cho năm 2025:,,,,
1.400 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2025: > 1.400 VND/cổ phiếu,1.400 VND/cổ phiếu,591.360.000.000,-,591360000000.0,
Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2025: > Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,84.480.000.000,-,84480000000.0,
Cổ tức bằng tiền cho năm 2024:700 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2025: > Cổ tức bằng tiền cho năm 2024:700 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024:700 VND/cổ phiếu,295.680.000.000,-,295680000000.0,
Tạm ứng cổ tức bằng tiền cho năm 2024: 1.200 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2025: > Tạm ứng cổ tức bằng tiền cho năm 2024: 1.200 VND/cổ phiếu,Tạm ứng cổ tức bằng tiền cho năm 2024: 1.200 VND/cổ phiếu,-,506.880.000.000,,506880000000.0
Cổ tức bằng tiền cho năm 2023:,Cổ tức bằng tiền cho năm 2023:,Cổ tức bằng tiền cho năm 2023:,,,,
850 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > 850 VND/cổ phiếu,850 VND/cổ phiếu,-,359.040.000.000,,359040000000.0
Cổ tức đã trả trong năm,Cổ tức bằng tiền cho năm 2023: > Cổ tức đã trả trong năm,Cổ tức đã trả trong năm,887.040.000.000,1.203.840.000.000,887040000000.0,1203840000000.0
Cổ tức bằng tiền cho năm 2024: 1.200VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > Cổ tức bằng tiền cho năm 2024: 1.200VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024: 1.200VND/cổ phiếu,506.880.000.000,-,506880000000.0,
Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,84.480.000.000,-,84480000000.0,
Cổ tức bằng tiền cho năm 2024: 700 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > Cổ tức bằng tiền cho năm 2024: 700 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024: 700 VND/cổ phiếu,295.680.000.000,-,295680000000.0,
Cổ tức bằng tiền cho năm 2023: 2.850 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > Cổ tức bằng tiền cho năm 2023: 2.850 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: 2.850 VND/cổ phiếu,-,1.203.840.000.000,,1203840000000.0
Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12,Cổ tức bằng tiền cho năm 2023: > Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12,Cổ tức đã công bố sau ngày kết thúc kỳ kế toán và chưa được ghi nhận là nợ phải trả vào ngày 31 tháng 12,-,84.480.000.000,,84480000000.0
Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2023: > Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,Cổ tức bằng tiền cho năm 2024: 200 VND/cổ phiếu,-,84.480.000.000,,84480000000.0
