row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
01,01,01,1. Doanh thu phát điện và cung cấp dịch vụ,21.1,2.199.099.793.099,2.008.218.681.839,,211.0,2199099793099.0,2008218681839.0
02,02,02,2. Các khoản giảm trừ doanh thu,21.1,-,-,,211.0,,
10,10,10,3. Doanh thu thuần phát điện và cung cấp dịch vụ,21.1,2.199.099.793.099,2.008.218.681.839,,211.0,2199099793099.0,2008218681839.0
11,11,11,4. Giá vốn phát điện và dịch vụ cung cấp,22,(1.039.089.708.696),(953.485.620.000),,22.0,-1039089708696.0,-953485620000.0
20,20,20,5. Lợi nhuận gộp về phát điện và cung cấp dịch vụ,,1.160.010.084.403,1.054.733.061.839,,,1160010084403.0,1054733061839.0
21,21,21,6. Doanh thu hoạt động tài chính,21.2,81.689.856.594,152.454.626.815,,212.0,81689856594.0,152454626815.0
22,22,22,7. Chỉ phí tài chính Trong đó: Chỉ phí lãi vay,23,(75.417.400.181)(29.055.289.740),(30.373.561.915)(30.097.788.674),,23.0,,
26,26,26,8. Chỉ phí quản lý doanh nghiệp,24,(69.220.800.969),(74.275.546.833),,24.0,-69220800969.0,-74275546833.0
30,30,30,9. Lợi nhuận thuần từ hoạt động kinh doanh,,1.097.061.739.847,1.102.538.579.906,,,1097061739847.0,1102538579906.0
31,31,31,10. Thu nhập khác,,344.631.125,1.625.182.877,,,344631125.0,1625182877.0
32,32,32,11. Chỉ phí khác,,(18.140.153),(338.514.701),,,-18140153.0,-338514701.0
40,40,40,12. Lãi khác,,326.490.972,1.286.668.176,,,326490972.0,1286668176.0
50,50,50,13. Tổng lợi nhuận kế toán trước thuế,,1.097.388.230.819,1.103.825.248.082,,,1097388230819.0,1103825248082.0
51,51,51,14. Chỉ phí thuế TNDN hiện hành,26.1,(214.228.338.491),(197.910.479.866),,261.0,-214228338491.0,-197910479866.0
60,60,60,15. Lợi nhuận sau thuế TNDN,,883.159.892.328,905.914.768.216,,,883159892328.0,905914768216.0
