row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyếtmính,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyếtmính,numeric__Số cuối năm,numeric__Số đầu năm
300,300,300,C. NỘ PHẢI TRẢ,,2.083.055.173.932,2.017.708.372.452,,,2083055173932.0,2017708372452.0
310,310,310,I. Nợ ngắn hạn,,1.041.768.482.657,914.452.676.236,,,1041768482657.0,914452676236.0
311,311,311,1. Phải trả người bán ngắn hạn,14,69.807.884.668,72.672.662.118,,14.0,69807884668.0,72672662118.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,351.992.382,574.703.982,,,351992382.0,574703982.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,15,190.651.129.554,173.306.838.456,,15.0,190651129554.0,173306838456.0
314,314,314,4. Phải trả người lao động,,54.927.454.058,25.485.080.701,,,54927454058.0,25485080701.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,16,10.121.728.962,10.648.742.743,,16.0,10121728962.0,10648742743.0
319,319,319,6. Phải trả ngắn hạn khác,17,591.809.396.887,508.465.171.333,,17.0,591809396887.0,508465171333.0
320,320,320,7. Vay ngắn hạn,18,104.218.506.520,100.480.322.540,,18.0,104218506520.0,100480322540.0
322,322,322,"8. Quỹ khen thưởng, phúc lợi",20,19.880.389.626,22.819.154.363,,20.0,19880389626.0,22819154363.0
330,330,330,II. Nợ dài hạn,,1.041.286.691.275,1.103.255.696.216,,,1041286691275.0,1103255696216.0
338,338,338,1. Vay dài hạn,18,1.041.286.691.275,1.103.255.696.216,,18.0,1041286691275.0,1103255696216.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,5.023.901.027.201,5.147.090.858.873,,,5023901027201.0,5147090858873.0
410,410,410,I. Vốn chủ sở hữu,19,5.023.901.027.201,5.147.090.858.873,,19.0,5023901027201.0,5147090858873.0
411,411,411,1. Vốn cổ phần,,4.224.000.000.000,4.224.000.000.000,,,4224000000000.0,4224000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,4.224.000.000.000,4.224.000.000.000,,,4224000000000.0,4224000000000.0
418,418,418,2. Quỹ đầu tư phát triển,,499.939.667.271,499.939.667.271,,,499939667271.0,499939667271.0
421,421,421,3. Lợi nhuận sau thuế chưa phân phối,,"299,961,359,930",423.151.191.602,,,,423151191602.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,8.161.467.602,24.116.423.386,,,8161467602.0,24116423386.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,291.799.892.328,399.034.768.216,,,291799892328.0,399034768216.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,7.106.956.201.133,7.164.799.231.325,,,7106956201133.0,7164799231325.0
