row_label_raw,row_label_full,Phải thu bên liên quan (Thuyết minh số 27),Số cuối năm > 695.516.509.480,Đơn vị tính: VND > Số đầu năm > 857.336.249.992,numeric__Số cuối năm > 695.516.509.480,numeric__Đơn vị tính: VND > Số đầu năm > 857.336.249.992
Phải thu từ các bên khác,Phải thu từ các bên khác,Phải thu từ các bên khác,2.633.975.903,2.810.418.937,2633975903.0,2810418937.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,698.150.485.383,860.146.668.929,698150485383.0,860146668929.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(2.085.349.433),(2.337.623.033),-2085349433.0,-2337623033.0
