row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,2.199.099.793.099,2.008.218.681.839,2199099793099.0,2008218681839.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu phát điện,Trong đó: > Doanh thu phát điện,Doanh thu phát điện,2.192.060.326.287,2.004.452.607.641,2192060326287.0,2004452607641.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,6.642.547.291,3.766.074.198,6642547291.0,3766074198.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,396.919.521,-,396919521.0,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,2.199.099.793.099,2.008.218.681.839,2199099793099.0,2008218681839.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,5.385.224.622,2.355.264.198,5385224622.0,2355264198.0
Doanh thu với bên liên quan(Thuyết minh số 27),Trong đó: > Doanh thu với bên liên quan(Thuyết minh số 27),Doanh thu với bên liên quan(Thuyết minh số 27),2.193.714.568.477,2.005.863.417.641,2193714568477.0,2005863417641.0
