row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 4.224.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 499.939.667.271 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 435.842.728.511 > 905.914.768.216,Đơn vị tính: VND Tổng cộng > Năm trước > 5.159.782.395.782 > 905.914.768.216,numeric__Vốn cổ phần đã phát hành > Năm trước > 4.224.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 499.939.667.271 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 435.842.728.511 > 905.914.768.216,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 5.159.782.395.782 > 905.914.768.216
- Cổ tức công bố,- Cổ tức công bố,- Cổ tức công bố,-,-,(865.920.000.000),(865.920.000.000),,,-865920000000.0,-865920000000.0
- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,(52.686.305.125),(52.686.305.125),,,-52686305125.0,-52686305125.0
Số cuối năm,Số cuối năm,Số cuối năm,4.224.000.000.000,499.939.667.271,423.151.191.602,5.147.090.858.873,4224000000000.0,499939667271.0,423151191602.0,5147090858873.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.224.000.000.000,499.939.667.271,423.151.191.602,5.147.090.858.873,4224000000000.0,499939667271.0,423151191602.0,5147090858873.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,883.159.892.328,883.159.892.328,,,883159892328.0,883159892328.0
- Cổ tức công bố (i),Năm nay > - Cổ tức công bố (i),- Cổ tức công bố (i),-,-,(380.160.000.000),(380.160.000.000),,,-380160000000.0,-380160000000.0
- Tạm ứng cổ tức (ii),Năm nay > - Tạm ứng cổ tức (ii),- Tạm ứng cổ tức (ii),-,-,(591.360.000.000),(591.360.000.000),,,-591360000000.0,-591360000000.0
- Trích quỹ khen thưởng phúc lợi (i),Năm nay > - Trích quỹ khen thưởng phúc lợi (i),- Trích quỹ khen thưởng phúc lợi (i),-,-,(34.829.724.000),(34.829.724.000),,,-34829724000.0,-34829724000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.224.000.000.000,499.939.667.271,299.961.359.930,5.023.901.027.201,4224000000000.0,499939667271.0,299961359930.0,5023901027201.0
