row_label_raw,row_label_full,Tên Công ty,31/12/2024 > Tỷ lệ Vốnnấm giữ,31/12/2024 > Tỷ lệ quyềnbiểu quyết,31/12/2024 > Giá gốc,31/12/2024 > Giá trịhợp lý Dự phòng,01/01/2024 > Tỷ lệ Vớnnấm giữ,01/01/2024 > Tỷ lệ quyềnbiểu quyết,01/01/2024 > Giá gốc,01/01/2024 > Giá trịhợp lý Dự phòng,numeric__31/12/2024 > Tỷ lệ Vốnnấm giữ,numeric__31/12/2024 > Tỷ lệ quyềnbiểu quyết,numeric__31/12/2024 > Giá gốc,numeric__31/12/2024 > Giá trịhợp lý Dự phòng,numeric__01/01/2024 > Tỷ lệ Vớnnấm giữ,numeric__01/01/2024 > Tỷ lệ quyềnbiểu quyết,numeric__01/01/2024 > Giá gốc,numeric__01/01/2024 > Giá trịhợp lý Dự phòng
Đầu tư vào Công ty con,Đầu tư vào Công ty con,Đầu tư vào Công ty con,,,3.003.792.000.000,,,,3.003.500.000.000,,,,3003792000000.0,,,,3003500000000.0,
Công ty TNHH MTV Hải Phát - Bình Thuận (1),Công ty TNHH MTV Hải Phát - Bình Thuận (1),Công ty TNHH MTV Hải Phát - Bình Thuận (1),100%,100%,750.000.000.000,,100%,100%,750.000.000.000,,1.0,1.0,750000000000.0,,1.0,1.0,750000000000.0,
Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,100%,100%,250.000.000.000,,100%,100%,250.000.000.000,,1.0,1.0,250000000000.0,,1.0,1.0,250000000000.0,
Công ty TNHH MTV Địa ốc Ruby,Công ty TNHH MTV Địa ốc Ruby,Công ty TNHH MTV Địa ốc Ruby,100%,100%,1.000.500.000.000,,100%,100%,1.000.500.000.000,,1.0,1.0,1000500000000.0,,1.0,1.0,1000500000000.0,
Công ty TNHH MTV Đầu tư Sapphire,Công ty TNHH MTV Đầu tư Sapphire,Công ty TNHH MTV Đầu tư Sapphire,100%,100%,795.000.000.000,,100%,100%,795.000.000.000,,1.0,1.0,795000000000.0,,1.0,1.0,795000000000.0,
Công ty TNHH MTV Đầu tư và Phát triểnTopaz PM Việt Nam,Công ty TNHH MTV Đầu tư và Phát triểnTopaz PM Việt Nam,Công ty TNHH MTV Đầu tư và Phát triểnTopaz PM Việt Nam,100%,100%,5.000.000.000,,100%,100%,5.000.000.000,,1.0,1.0,5000000000.0,,1.0,1.0,5000000000.0,
Công ty TNNN MTV Diamond IC,Công ty TNNN MTV Diamond IC,Công ty TNNN MTV Diamond IC,100%,100%,5.000.000.000,,100%,100%,5.000.000.000,,1.0,1.0,5000000000.0,,1.0,1.0,5000000000.0,
Công ty TNHH Maipha PENINSULA (2),Công ty TNHH Maipha PENINSULA (2),Công ty TNHH Maipha PENINSULA (2),70%,70%,198.030.000.000,,70%,70%,198.000.000.000,,0.7,0.7,198030000000.0,,0.7,0.7,198000000000.0,
Công ty cổ phần Tư vấn đầu tư và Quy hoạchQuốc tế Opal (3),Công ty cổ phần Tư vấn đầu tư và Quy hoạchQuốc tế Opal (3),Công ty cổ phần Tư vấn đầu tư và Quy hoạchQuốc tế Opal (3),65%,65%,262.000.000,,,,,,0.65,0.65,262000000.0,,,,,
Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,Đầu tư vào Công ty liên doanh liên kết,,,55.946.786.097,,,,55.946.786.097,,,,55946786097.0,,,,55946786097.0,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,50%,50%,55.946.786.097,,50%,50%,55.946.786.097,,0.5,0.5,55946786097.0,,0.5,0.5,55946786097.0,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,,30.317.280.829,,,,348.197.280.829,,,,30317280829.0,,,,348197280829.0,
Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (4),Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (4),Công ty Cổ phần Đầu tư Hải Phát Thủ Đô (4),,,,-,"19,01%","19,01%",190.080.000.000,,,,,,0.19010000000000002,0.19010000000000002,190080000000.0,
Công ty Cổ phần Đầu tư và Kinh doanhBất động sản Hải Phát (5),Công ty Cổ phần Đầu tư và Kinh doanhBất động sản Hải Phát (5),Công ty Cổ phần Đầu tư và Kinh doanhBất động sản Hải Phát (5),,,,-,"18,00%","18,00%",127.800.000.000,,,,,,0.18,0.18,127800000000.0,
Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,"4,50%","4,50%",30.317.280.829,,"4,50%","4,50%",30.317.280.829,,0.045,0.045,30317280829.0,,0.045,0.045,30317280829.0,
Tổng,Tổng,Tổng,,,3.090.056.066.926 (*),,,,3.407.644.066.926 (*),,,,,,,,,
