row_label_raw,row_label_full,Ông Đỗ Mạnh Quân > Ông Bùi Đức Tuế,Trường ban (Bổ nhiệm ngày 26/4/2024) > Trường ban (Miễn nhiệm ngày 26/4/2024),numeric__Trường ban (Bổ nhiệm ngày 26/4/2024) > Trường ban (Miễn nhiệm ngày 26/4/2024)
Ông Chu Việt Hùng,Ông Chu Việt Hùng,Ông Chu Việt Hùng,Thành viên,
Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Ông Lê Mạnh Hùng,Thành viên,
