row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.802.442.211.370,1.802.442.211.370,1.451.072.451.219,1.425.291.143.268,1.776.660.903.419,1.776.660.903.419,1802442211370.0,1802442211370.0,1451072451219.0,1425291143268.0,1776660903419.0,1776660903419.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),366.796.529.515,366.796.529.515,315.240.345.838,409.617.470.205,461.173.653.882,461.173.653.882,366796529515.0,366796529515.0,315240345838.0,409617470205.0,461173653882.0,461173653882.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,245.730.305.645,245.730.305.645,277.375.215.849,382.227.470.204,350.582.560.000,350.582.560.000,245730305645.0,245730305645.0,277375215849.0,382227470204.0,350582560000.0,350582560000.0
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,121.066.223.870,121.066.223.870,37.865.129.989,27.390.000.001,110.591.093.882,110.591.093.882,121066223870.0,121066223870.0,37865129989.0,27390000001.0,110591093882.0,110591093882.0
Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),Trái phiếu ngắn hạn (2),80.000.000.000,80.000.000.000,,168.808.000.000,248.808.000.000,248.808.000.000,80000000000.0,80000000000.0,,168808000000.0,248808000000.0,248808000000.0
Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),Trái phiếu dài hạn đến hạn trả (2),799.268.125.855,799.268.125.855,501.119.872.381,445.731.874.145,743.880.127.619,743.880.127.619,799268125855.0,799268125855.0,501119872381.0,445731874145.0,743880127619.0,743880127619.0
Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),Tổng công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam (3),182.868.201.434,182.868.201.434,-,39.552.620.484,222.420.821.918,222.420.821.918,182868201434.0,182868201434.0,,39552620484.0,222420821918.0,222420821918.0
Vay cá nhân (4),Vay cá nhân (4),Vay cá nhân (4),373.509.354.566,373.509.354.566,634.712.233.000,361.581.178.434,100.378.300.000,100.378.300.000,373509354566.0,373509354566.0,634712233000.0,361581178434.0,100378300000.0,100378300000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,98.800.000.000,98.800.000.000,100.783.584.131,534.965.129.988,532.981.545.857,532.981.545.857,98800000000.0,98800000000.0,100783584131.0,534965129988.0,532981545857.0,532981545857.0
Vay ngân hàng (1),Vay ngân hàng (1),Vay ngân hàng (1),98.800.000.000,98.800.000.000,98.800.000.000,34.965.129.988,34.965.129.988,34.965.129.988,98800000000.0,98800000000.0,98800000000.0,34965129988.0,34965129988.0,34965129988.0
Trái phiếu (2),Trái phiếu (2),Trái phiếu (2),-,-,1.983.584.131,500.000.000.000,498.016.415.869,498.016.415.869,,,1983584131.0,500000000000.0,498016415869.0,498016415869.0
Tổng,Tổng,Tổng,1.901.242.211.370,1.901.242.211.370,1.551.856.035.350,1.960.256.273.256,2.309.642.449.276,2.309.642.449.276,1901242211370.0,1901242211370.0,1551856035350.0,1960256273256.0,2309642449276.0,2309642449276.0
