row_label_raw,row_label_full,CHỈ TIÊU,MS,TM,Năm 2024VND,Năm 2023VND,numeric__MS,numeric__TM,numeric__Năm 2024VND,numeric__Năm 2023VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,107.973.184.188,104.531.537.073,1.0,,107973184188.0,104531537073.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao tài sản cố định và BĐS đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao tài sản cố định và BĐS đầu tư,- Khấu hao tài sản cố định và BĐS đầu tư,02,,12.004.391.214,11.944.357.664,2.0,,12004391214.0,11944357664.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,50.000.000.000,-,3.0,,50000000000.0,
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,77.210.750.744,(223.849.778.472),5.0,,77210750744.0,-223849778472.0
- Chi phí lãi vay và chi phí phát hành trái phiếu,2. Điều chỉnh cho các khoản > - Chi phí lãi vay và chi phí phát hành trái phiếu,- Chi phí lãi vay và chi phí phát hành trái phiếu,06,,114.977.033.389,164.192.251.663,6.0,,114977033389.0,164192251663.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,362.165.359.535,56.818.367.928,8.0,,362165359535.0,56818367928.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,429.943.873.358,(514.847.986.532),9.0,,429943873358.0,-514847986532.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,315.669.174.806,318.579.759.868,10.0,,315669174806.0,318579759868.0
