row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng Khoán Smart Invest,Giá trị > 300.000.000.000 > 499.268.125.855,"Lãi suất > Lãi suất tham chiếu +3,5% > Lãi suất tham chiếu +4,5%",Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 12 năm 2024. Lãi vay được trả 6 tháng/lần. Tại thời điểm Báo cáo. > Gốc được trả một lần vào ngày đáo hạn là ngày 25 tháng 8 năm 2025. Lãi vay được trả 3 tháng/lần.,Tài sãn đảm bảo > (ii) > (iii),numeric__Giá trị > 300.000.000.000 > 499.268.125.855,"numeric__Lãi suất > Lãi suất tham chiếu +3,5% > Lãi suất tham chiếu +4,5%",numeric__Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 12 năm 2024. Lãi vay được trả 6 tháng/lần. Tại thời điểm Báo cáo. > Gốc được trả một lần vào ngày đáo hạn là ngày 25 tháng 8 năm 2025. Lãi vay được trả 3 tháng/lần.,numeric__Tài sãn đảm bảo > (ii) > (iii)
Tổng trái phiếu dài hạn đến hạn trả,Tổng trái phiếu dài hạn đến hạn trả,Tổng trái phiếu dài hạn đến hạn trả,799.268.125.855,,,,799268125855.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu ngắn hạn,Trong đó: > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,80.000.000.000,,,,80000000000.0,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,799.268.125.855,,,,799268125855.0,,,
Gốc trái phiếu,Trong đó: > Gốc trái phiếu,Gốc trái phiếu,880.000.000.000,,,,880000000000.0,,,
Chi phí phát hành trái phiếu,Trong đó: > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(731.874.145),,,,-731874145.0,,,
