row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,268.881,527.772,368.284,65.107,1.230.044,268881.0,527772.0,368284.0,65107.0,1230044.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,108.733,82.916,50.942,50.619,293.210,108733.0,82916.0,50942.0,50619.0,293210.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(1.057),(158),(1.510),(2.725),,-1057.0,-158.0,-1510.0,-2725.0
Số dư tại ngày 31 tháng 12 năm 2014,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,377.614,609.631,419.068,114.216,1.520.529,377614.0,609631.0,419068.0,114216.0,1520529.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,26.235,350.153,171.001,37.607,584.996,26235.0,350153.0,171001.0,37607.0,584996.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,13.600,106.361,77.297,22.007,219.265,13600.0,106361.0,77297.0,22007.0,219265.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(1.057),(189),(1.158),(2.404),,-1057.0,-189.0,-1158.0,-2404.0
Số dư tại ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,39.835,455.457,248.109,58.456,801.857,39835.0,455457.0,248109.0,58456.0,801857.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2014,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,242.646,177.619,197.283,27.500,645.048,242646.0,177619.0,197283.0,27500.0,645048.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,337.779,154.174,170.959,55.760,718.672,337779.0,154174.0,170959.0,55760.0,718672.0
