row_label_raw,row_label_full,col_0,Phần mềm máy vi tínhTriệu VND,Quyền sử dụng đấtTriệu VND,Tổng cộngTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư tại ngày 1 tháng 1 năm 2014,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,244.118,871.453,1.115.571,244118.0,871453.0,1115571.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.716,43.135,55.851,12716.0,43135.0,55851.0
Số dư tại ngày 31 tháng 12 năm 2014,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,256.834,914.588,1.171.422,256834.0,914588.0,1171422.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư tại ngày 1 tháng 1 năm 2014,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,200.301,52.722,253.023,200301.0,52722.0,253023.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,26.876,17.316,44.192,26876.0,17316.0,44192.0
Số dư tại ngày 31 tháng 12 năm 2014,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,227.177,70.038,297.215,227177.0,70038.0,297215.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư tại ngày 1 tháng 1 năm 2014,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,43.817,818.731,862.548,43817.0,818731.0,862548.0
Số dư tại ngày 31 tháng 12 năm 2014,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,29.657,844.550,874.207,29657.0,844550.0,874207.0
