row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Cho vay khách hàng – gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Đầu tư chứng khoán– gộpTriệu VND,numeric__Cho vay khách hàng – gộpTriệu VND,numeric__Tiền gửi của khách hàngTriệu VND,numeric__Nợ tiềm tàng và các cam kết tín dụngTriệu VND,numeric__Công cụ tài chínhphái sinhTriệu VND,numeric__Đầu tư chứng khoán– gộpTriệu VND
Trong nước,Trong nước,Trong nước,117.680.279,181.210.238,36.520.147,96.437,50.269.886,117680279.0,181210238.0,36520147.0,96437.0,50269886.0
Nước ngoài,Nước ngoài,Nước ngoài,2.627.945,540.551,-,-,-,2627945.0,540551.0,,,
,,,120.308.224,181.750.789,36.520.147,96.437,50.269.886,120308224.0,181750789.0,36520147.0,96437.0,50269886.0
Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,Cho vay khách hàng – gộpTriệu VND,Tiền gửi của khách hàngTriệu VND,Nợ tiềm tàng và các cam kết tín dụngTriệu VND,Công cụ tài chínhphái sinhTriệu VND,Đầu tư chứng khoán – gộpTriệu VND,,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2014 > Trong nước,Trong nước,98.668.213,167.684.362,49.818.377,5.387,60.677.293,98668213.0,167684362.0,49818377.0,5387.0,60677293.0
Nước ngoài,Tại ngày 31 tháng 12 năm 2014 > Nước ngoài,Nước ngoài,1.902.797,257.130,8.872,-,-,1902797.0,257130.0,8872.0,,
,,,100.571.010,167.941.492,49.827.249,5.387,60.677.293,100571010.0,167941492.0,49827249.0,5387.0,60677293.0
