row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Giá trị hợp lý > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,Giá trị hợp lý > Giữ đến ngày đáo hạn Triệu VND,Giá trị hợp lý > Cho vay và phải thu Triệu VND,Giá trị hợp lý > Sẵn sàng để bán Triệu VND,Giá trị hợp lý > Hạch toán theo giá trị phân bổ Triệu VND,Giá trị hợp lý > Tổng cộng giá trị ghi sổ Triệu VND,Giá trị hợp lý > Triệu VND,numeric__Giá trị hợp lý > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,numeric__Giá trị hợp lý > Giữ đến ngày đáo hạn Triệu VND,numeric__Giá trị hợp lý > Cho vay và phải thu Triệu VND,numeric__Giá trị hợp lý > Sẵn sàng để bán Triệu VND,numeric__Giá trị hợp lý > Hạch toán theo giá trị phân bổ Triệu VND,numeric__Giá trị hợp lý > Tổng cộng giá trị ghi sổ Triệu VND,numeric__Giá trị hợp lý > Triệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,1.226.855,-,-,-,-,1.226.855,1.226.855,1226855.0,,,,,1226855.0,1226855.0
Tiền gửi tại NHNN,Tài sản tài chính > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.181.894,-,-,8.181.894,8.181.894,,,8181894.0,,,8181894.0,8181894.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,-,28.309.926,-,-,28.309.926,(*),,,28309926.0,,,28309926.0,
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,96.437,-,-,-,-,96.437,(*),96437.0,,,,,96437.0,
Chứng khoán kinh doanh – gộp,Tài sản tài chính > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,2.966.730,-,-,-,-,2.966.730,(*),2966730.0,,,,,2966730.0,
Cho vay khách hàng – gộp,Tài sản tài chính > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,-,120.308.224,-,-,120.308.224,(*),,,120308224.0,,,120308224.0,
Chứng khoán đầu tư – gộp,Tài sản tài chính > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,8.070.136,-,39.233.020,-,47.303.156,(*),,8070136.0,,39233020.0,,47303156.0,
Góp vốn đầu tư dài hạn – gộp,Tài sản tài chính > Góp vốn đầu tư dài hạn – gộp,Góp vốn đầu tư dài hạn – gộp,-,-,-,3.361.229,-,3.361.229,(*),,,,3361229.0,,3361229.0,
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,-,-,3.872.449,-,-,3.872.449,(*),,,3872449.0,,,3872449.0,
,,,4.290.022,8.070.136,160.672.493,42.594.249,-,215.626.900,,4290022.0,8070136.0,160672493.0,42594249.0,,215626900.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả tài chính > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,-,-,-,-,1.411.502,1.411.502,1.411.502,,,,,1411502.0,1411502.0,1411502.0
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,7.173.930,7.173.930,(*),,,,,7173930.0,7173930.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,181.750.789,181.750.789,(*),,,,,181750789.0,181750789.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,317.958,317.958,(*),,,,,317958.0,317958.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,2.080.058,2.080.058,(*),,,,,2080058.0,2080058.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,-,3.275.176,3.275.176,(*),,,,,3275176.0,3275176.0,
,,,-,-,-,-,196.009.413,196.009.413,,,,,,196009413.0,196009413.0,
