row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cổ phầnTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ khácTriệu VND,Lợi nhuậnchưaphân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cổ phầnTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ khácTriệu VND,numeric__Lợi nhuậnchưaphân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,Số dư tại ngày 1 tháng 1 năm 2014,11.256.250,338.421,858.396,436.598,101.550,1.984.336,14.975.551,11256250.0,338421.0,858396.0,436598.0,101550.0,1984336.0,14975551.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,337.688,-,-,-,-,(337.688),-,337688.0,,,,,-337688.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.354.143,2.354.143,,,,,,2354143.0,2354143.0
Trích bổ sung các quỹ cho năm 2013,Trích bổ sung các quỹ cho năm 2013,Trích bổ sung các quỹ cho năm 2013,-,-,222.253,111.127,145.425,(478.805),-,,,222253.0,111127.0,145425.0,-478805.0,
Tạm trích quỹ cho năm 2014,Tạm trích quỹ cho năm 2014,Tạm trích quỹ cho năm 2014,-,-,-,-,40.160,(40.160),-,,,,,40160.0,-40160.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(133.360),(133.360),,,,,,-133360.0,-133360.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(115.123),-,(115.123),,,,,-115123.0,,-115123.0
Tạm ứng cổ tức năm 2014,Tạm ứng cổ tức năm 2014,Tạm ứng cổ tức năm 2014,-,-,-,-,-,(811.575),(811.575),,,,,,-811575.0,-811575.0
Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,Số dư tại ngày 31 tháng 12 năm 2014,11.593.938,338.421,1.080.649,547.725,172.012,2.536.891,16.269.636,11593938.0,338421.0,1080649.0,547725.0,172012.0,2536891.0,16269636.0
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,11.593.938,338.421,1.080.649,547.725,172.012,2.536.891,16.269.636,11593938.0,338421.0,1080649.0,547725.0,172012.0,2536891.0,16269636.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,4.058.244,380.103,-,-,-,-,4.438.347,4058244.0,380103.0,,,,,4438347.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,347.818,-,-,-,-,(347.818),-,347818.0,,,,,-347818.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.468.596,2.468.596,,,,,,2468596.0,2468596.0
Trích bổ sung các quỹ cho năm 2014,Trích bổ sung các quỹ cho năm 2014,Trích bổ sung các quỹ cho năm 2014,-,-,235.414,117.707,171.713,(524.834),-,,,235414.0,117707.0,171713.0,-524834.0,
Tạm trích quỹ cho năm 2015,Tạm trích quỹ cho năm 2015,Tạm trích quỹ cho năm 2015,-,-,-,-,36.576,(36.576),-,,,,,36576.0,-36576.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(142.654),(142.654),,,,,,-142654.0,-142654.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(167.407),-,(167.407),,,,,-167407.0,,-167407.0
Tạm ứng cổ tức năm 2015,Tạm ứng cổ tức năm 2015,Tạm ứng cổ tức năm 2015,-,-,-,-,-,(579.697),(579.697),,,,,,-579697.0,-579697.0
Trích quỹ dự trữ bắt buộc của chi nhánhnước ngoài,Trích quỹ dự trữ bắt buộc của chi nhánhnước ngoài,Trích quỹ dự trữ bắt buộc của chi nhánhnước ngoài,-,-,-,-,2.675,(2.675),-,,,,,2675.0,-2675.0,
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,173,173,,,,,,173.0,173.0
Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,16.000.000,718.524,1.316.063,665.432,215.569,3.371.406,22.286.994,16000000.0,718524.0,1316063.0,665432.0,215569.0,3371406.0,22286994.0
