row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,377.614,609.631,419.068,114.216,1.520.529,377614.0,609631.0,419068.0,114216.0,1520529.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,44.630,65.754,41.778,8.835,160.997,44630.0,65754.0,41778.0,8835.0,160997.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(2.069),-,(784),(2.853),,-2069.0,,-784.0,-2853.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,422.244,673.316,460.846,122.267,1.678.673,422244.0,673316.0,460846.0,122267.0,1678673.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,39.835,455.457,248.109,58.456,801.857,39835.0,455457.0,248109.0,58456.0,801857.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.741,103.618,73.481,22.835,216.675,16741.0,103618.0,73481.0,22835.0,216675.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(2.069),-,(784),(2.853),,-2069.0,,-784.0,-2853.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,56.576,557.006,321.590,80.507,1.015.679,56576.0,557006.0,321590.0,80507.0,1015679.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,337.779,154.174,170.959,55.760,718.672,337779.0,154174.0,170959.0,55760.0,718672.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,365.668,116.310,139.256,41.760,662.994,365668.0,116310.0,139256.0,41760.0,662994.0
