row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014(Triệu VND),Quá hạn dưới 3 tháng,Quá hạn trên 3 tháng,Đến 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 12 tháng,Từ 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__Quá hạn dưới 3 tháng,numeric__Quá hạn trên 3 tháng,numeric__Đến 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 12 tháng,numeric__Từ 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.217.275,-,-,-,-,1.217.275,,,1217275.0,,,,,1217275.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.067.482,-,-,-,-,6.067.482,,,6067482.0,,,,,6067482.0
Tiền gửi và cho vay các TCTD khác – gộp,Tài sản > Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,442.500,9.968.058,4.981.995,3.459.202,500.000,2.000.000,21.351.755,,442500.0,9968058.0,4981995.0,3459202.0,500000.0,2000000.0,21351755.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,267.035,322.081,4.467.486,4.212.112,679.717,9.948.431,,,267035.0,322081.0,4467486.0,4212112.0,679717.0,9948431.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,5.387,-,-,-,-,5.387,,,5387.0,,,,,5387.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,2.711.957,2.745.450,9.529.294,25.204.871,22.542.337,30.016.709,7.820.392,100.571.010,2711957.0,2745450.0,9529294.0,25204871.0,22542337.0,30016709.0,7820392.0,100571010.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,380.000,2.412.963,4.916.705,14.419.217,26.437.877,2.162.100,50.728.862,,380000.0,2412963.0,4916705.0,14419217.0,26437877.0,2162100.0,50728862.0
"Góp vốn, đầu tư dài hạn – gộp","Tài sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,3.229.995,3.229.995,,,,,,,3229995.0,3229995.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.592.879,1.592.879,,,,,,,1592879.0,1592879.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,-,6.083,5.869.659,-,916.064,-,-,6.791.806,,6083.0,5869659.0,,916064.0,,,6791806.0
,,,2.711.957,3.574.033,35.337.153,35.425.652,45.804.306,61.166.698,17.485.083,201.504.882,2711957.0,3574033.0,35337153.0,35425652.0,45804306.0,61166698.0,17485083.0,201504882.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.286.112,596.594,2.162,79.307,2.000.000,3.964.175,,,1286112.0,596594.0,2162.0,79307.0,2000000.0,3964175.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,59.144.384,47.088.622,41.997.639,11.073.818,8.637.029,167.941.492,,,59144384.0,47088622.0,41997639.0,11073818.0,8637029.0,167941492.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,5.668,125,5.424,213.571,-,224.788,,,5668.0,125.0,5424.0,213571.0,,224788.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,58,-,-,-,2.000.000,2.000.058,,,58.0,,,,2000000.0,2000058.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,-,-,1.912.786,-,6.098.133,-,-,8.010.919,,,1912786.0,,6098133.0,,,8010919.0
,,,-,-,62.349.008,47.685.341,48.103.358,11.366.696,12.637.029,182.141.432,,,62349008.0,47685341.0,48103358.0,11366696.0,12637029.0,182141432.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.711.957,3.574.033,(27.011.855),(12.259.689),(2.299.052),49.800.002,4.848.054,19.363.450,2711957.0,3574033.0,-27011855.0,-12259689.0,-2299052.0,49800002.0,4848054.0,19363450.0
