row_label_raw,row_label_full,col_0,Phần mềm máy vi tínhTriệu VND,Quyền sử dụng đấtTriệu VND,Tổng cộngTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,256.834,914.588,1.171.422,256834.0,914588.0,1171422.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,97.241,19.320,116.561,97241.0,19320.0,116561.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,354.075,933.908,1.287.983,354075.0,933908.0,1287983.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,227.177,70.038,297.215,227177.0,70038.0,297215.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,50.341,17.468,67.809,50341.0,17468.0,67809.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,277.518,87.506,365.024,277518.0,87506.0,365024.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,29.657,844.550,874.207,29657.0,844550.0,874207.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,76.557,846.402,922.959,76557.0,846402.0,922959.0
