row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2015 Triệu VND,31/12/2014 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2015 Triệu VND,numeric__31/12/2014 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,5,1.226.855,1.217.275,,5.0,1226855.0,1217275.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,8.181.894,6.067.482,,6.0,8181894.0,6067482.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",7,28.040.926,20.909.255,,7.0,28040926.0,20909255.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,17.166.923,10.598.278,,,17166923.0,10598278.0
2,A > 2,2,Cho vay các TCTD khác,,11.143.003,10.753.477,,,11143003.0,10753477.0
3,A > 3,3,Dự phòng rủi ro,,(269.000),(442.500),,,-269000.0,-442500.0
IV,A > IV,IV,Chứng khoán kinh doanh,8,2.966.730,9.948.431,,8.0,2966730.0,9948431.0
1,A > 1,1,Chứng khoán kinh doanh,,2.966.730,9.948.431,,,2966730.0,9948431.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,96.437,5.387,,9.0,96437.0,5387.0
VI,A > VI,VI,Cho vay khách hàng,,118.616.866,98.367.939,,,118616866.0,98367939.0
1,A > 1,1,Cho vay khách hàng,10,120.308.224,100.571.010,,10.0,120308224.0,100571010.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,11,(1.691.358),(2.203.071),,11.0,-1691358.0,-2203071.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,12,46.488.398,50.413.253,,12.0,46488398.0,50413253.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,39.233.020,44.271.598,,,39233020.0,44271598.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,8.070.136,6.457.264,,,8070136.0,6457264.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(814.758),(315.609),,,-814758.0,-315609.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",13,3.211.850,3.103.444,,13.0,3211850.0,3103444.0
1,A > 1,1,Đầu tư vào công ty con,,2.347.698,2.218.318,,,2347698.0,2218318.0
3,A > 3,3,Đầu tư vào công ty liên kết,,258.591,258.591,,,258591.0,258591.0
4,A > 4,4,Đầu tư dài hạn khác,,754.940,753.086,,,754940.0,753086.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(149.379),(126.551),,,-149379.0,-126551.0
X,A > X,X,Tài sản cố định,,1.585.953,1.592.879,,,1585953.0,1592879.0
1,A > 1,1,Tài sản cố định hữu hình,14,662.994,718.672,,14.0,662994.0,718672.0
a,A > a,a,Nguyên giá,,1.678.673,1.520.529,,,1678673.0,1520529.0
b,A > b,b,Giá trị hao mòn lũy kế,,(1.015.679),(801.857),,,-1015679.0,-801857.0
3,A > 3,3,Tài sản cố định vô hình,15,922.959,874.207,,15.0,922959.0,874207.0
a,A > a,a,Nguyên giá,,1.287.983,1.171.422,,,1287983.0,1171422.0
b,A > b,b,Giá trị hao mòn lũy kế,,(365.024),(297.215),,,-365024.0,-297215.0
XII,A > XII,XII,Tài sản Có khác,16,8.276.854,6.785.723,,16.0,8276854.0,6785723.0
1,A > 1,1,Các khoản phải thu,,4.856.146,3.212.519,,,4856146.0,3212519.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.679.565,3.323.856,,,2679565.0,3323856.0
4,A > 4,4,Tài sản Có khác,,747.226,255.431,,,747226.0,255431.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(6.083),(6.083),,,-6083.0,-6083.0
,,,TỔNG TÀI SẢN,,218.692.763,198.411.068,,,218692763.0,198411068.0
