row_label_raw,row_label_full,31 tháng 12 năm 2015,Miền BắcTriệu VND > 31 tháng 12 năm 2015,Miền TrungTriệu VND > 31 tháng 12 năm 2015,Miền NamTriệu VND > 31 tháng 12 năm 2015,Nước ngoàiTriệu VND > 31 tháng 12 năm 2015,Tổng cộngTriệu VND > 31 tháng 12 năm 2015,numeric__Miền BắcTriệu VND > 31 tháng 12 năm 2015,numeric__Miền TrungTriệu VND > 31 tháng 12 năm 2015,numeric__Miền NamTriệu VND > 31 tháng 12 năm 2015,numeric__Nước ngoàiTriệu VND > 31 tháng 12 năm 2015,numeric__Tổng cộngTriệu VND > 31 tháng 12 năm 2015
Tài sản,Tài sản,Tài sản,163.193.371,11.642.655,40.412.882,3.443.855,218.692.763,163193371.0,11642655.0,40412882.0,3443855.0,218692763.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,141.298.953,11.542.763,40.157.739,3.406.314,196.405.769,141298953.0,11542763.0,40157739.0,3406314.0,196405769.0
Tài sản cố định – thuần,Tài sản cố định – thuần,Tài sản cố định – thuần,1.308.892,65.452,184.888,26.721,1.585.953,1308892.0,65452.0,184888.0,26721.0,1585953.0
2015,2015,2015,2015,2015,2015,2015,2015,2015.0,2015.0,2015.0,2015.0,2015.0
Doanh thu,Doanh thu,Doanh thu,8.256.804,1.459.155,4.813.792,208.500,14.738.251,8256804.0,1459155.0,4813792.0,208500.0,14738251.0
Chỉ phí,Chỉ phí,Chỉ phí,5.735.055,1.324.200,4.343.372,184.586,11.587.213,5735055.0,1324200.0,4343372.0,184586.0,11587213.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.521.749,134.955,470.420,23.914,3.151.038,2521749.0,134955.0,470420.0,23914.0,3151038.0
,,,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,,,,,
31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,31 tháng 12 năm 2014,,,,,
Tài sản,31 tháng 12 năm 2014 > Tài sản,Tài sản,154.113.299,9.423.975,32.476.092,2.397.702,198.411.068,154113299.0,9423975.0,32476092.0,2397702.0,198411068.0
Nợ phải trả,31 tháng 12 năm 2014 > Nợ phải trả,Nợ phải trả,138.151.027,9.425.857,32.213.732,2.350.816,182.141.432,138151027.0,9425857.0,32213732.0,2350816.0,182141432.0
Tài sản cố định – thuần,31 tháng 12 năm 2014 > Tài sản cố định – thuần,Tài sản cố định – thuần,1.509.726,19.909,57.675,5.569,1.592.879,1509726.0,19909.0,57675.0,5569.0,1592879.0
2014,31 tháng 12 năm 2014 > 2014,2014,2014,2014,2014,2014,2014,2014.0,2014.0,2014.0,2014.0,2014.0
Doanh thu,31 tháng 12 năm 2014 > Doanh thu,Doanh thu,8.871.768,1.394.983,4.182.787,163.682,14.613.220,8871768.0,1394983.0,4182787.0,163682.0,14613220.0
Chỉ phí,31 tháng 12 năm 2014 > Chỉ phí,Chỉ phí,6.340.769,1.303.602,3.830.406,135.886,11.610.663,6340769.0,1303602.0,3830406.0,135886.0,11610663.0
Lợi nhuận trước thuế,31 tháng 12 năm 2014 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,2.530.999,91.381,352.381,27.796,3.002.557,2530999.0,91381.0,352381.0,27796.0,3002557.0
