row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015(Triệu VND),Quá hạn,Không hưởng lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ 3 đến 6 tháng,Từ 6 đến 12 tháng,Trên 1 năm,Tổng cộng,numeric__Quá hạn,numeric__Không hưởng lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ 3 đến 6 tháng,numeric__Từ 6 đến 12 tháng,numeric__Trên 1 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.226.855,-,-,-,-,-,1.226.855,,1226855.0,,,,,,1226855.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,8.181.894,-,-,-,-,8.181.894,,,8181894.0,,,,,8181894.0
Tiền gửi và cho vay các TCTD khác –gộp,Tài sản > Tiền gửi và cho vay các TCTD khác –gộp,Tiền gửi và cho vay các TCTD khác –gộp,266.500,-,15.035.516,7.302.226,3.046.364,659.320,2.000.000,28.309.926,266500.0,,15035516.0,7302226.0,3046364.0,659320.0,2000000.0,28309926.0
Chứng khoán kinh doanh – gộp,Tài sản > Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,-,-,1.161.701,447.830,590.619,55.536,711.044,2.966.730,,,1161701.0,447830.0,590619.0,55536.0,711044.0,2966730.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,-,96.437,-,-,-,-,96.437,,,96437.0,,,,,96437.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,4.331.124,-,9.336.187,62.781.377,25.287.144,12.371.592,6.200.800,120.308.224,4331124.0,,9336187.0,62781377.0,25287144.0,12371592.0,6200800.0,120308224.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,280.000,204.279,1.978.730,4.081.485,3.147.938,2.053.850,35.556.874,47.303.156,280000.0,204279.0,1978730.0,4081485.0,3147938.0,2053850.0,35556874.0,47303156.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",-,3.361.229,-,-,-,-,-,3.361.229,,3361229.0,,,,,,3361229.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.585.953,-,-,-,-,-,1.585.953,,1585953.0,,,,,,1585953.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,6.083,8.276.854,-,-,-,-,-,8.282.937,6083.0,8276854.0,,,,,,8282937.0
,,,4.883.707,14.655.170,35.790.465,74.612.918,32.072.065,15.140.298,44.468.718,221.623.341,4883707.0,14655170.0,35790465.0,74612918.0,32072065.0,15140298.0,44468718.0,221623341.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNN và Chính phủ,Nợ phải trả > Nợ phải trả NHNN và Chính phủ,Nợ phải trả NHNN và Chính phủ,-,-,1.411.502,-,-,-,-,1.411.502,,,1411502.0,,,,,1411502.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.908.376,68.544,-,197.010,2.000.000,7.173.930,,,4908376.0,68544.0,,197010.0,2000000.0,7173930.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,56.094.334,55.788.713,26.841.168,29.142.493,13.884.081,181.750.789,,,56094334.0,55788713.0,26841168.0,29142493.0,13884081.0,181750789.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,767,3.165,4.706,309.320,317.958,,,,767.0,3165.0,4706.0,309320.0,317958.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,80.058,-,-,-,2.000.000,2.080.058,,,80058.0,,,,2000000.0,2080058.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.671.532,-,-,-,-,-,3.671.532,,3671532.0,,,,,,3671532.0
,,,-,3.671.532,62.494.270,55.858.024,26.844.333,29.344.209,18.193.401,196.405.769,,3671532.0,62494270.0,55858024.0,26844333.0,29344209.0,18193401.0,196405769.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,4.883.707,10.983.638,(26.703.805),18.754.894,5.227.732,(14.203.911),26.275.317,25.217.572,4883707.0,10983638.0,-26703805.0,18754894.0,5227732.0,-14203911.0,26275317.0,25217572.0
