row_label_raw,row_label_full,col_0,Mối quan hệ,31/12/2016,01/01/2016,numeric__Mối quan hệ,numeric__31/12/2016,numeric__01/01/2016
,,,Mối quan hệ,VND,VND,,,
Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,92.658.489.064,166.832.496.966,,92658489064.0,166832496966.0
Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty con,81.430.811.033,112.574.675.940,,81430811033.0,112574675940.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,485.617,1.362.619.291,,485617.0,1362619291.0
Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty con,297.221.650,-,,297221650.0,
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty con,10.881.605.862,33.308.028.708,,10881605862.0,33308028708.0
Công ty TNHH Một thành viên Thiết bị do điện,Công ty TNHH Một thành viên Thiết bị do điện,Công ty TNHH Một thành viên Thiết bị do điện,Công ty con,48.364.902,-,,48364902.0,
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,-,18.326.134.743,,,18326134743.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty con,-,934.193.084,,,934193084.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,-,326.845.200,,,326845200.0
Phải thu khác,Phải thu khác,Phải thu khác,,4.957.327.000,11.080.987.000,,4957327000.0,11080987000.0
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty con,4.957.327.000,4.957.327.000,,4957327000.0,4957327000.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,-,6.123.660.000,,,6123660000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,118.946.223.516,118.252.895.492,,118946223516.0,118252895492.0
Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty con,-,6.250.527.015,,,6250527015.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,599.349.549,11.629.809.343,,599349549.0,11629809343.0
Công ty TNHH Một thành viên Thiết bị do điện,Công ty TNHH Một thành viên Thiết bị do điện,Công ty TNHH Một thành viên Thiết bị do điện,Công ty con,74.981.795.916,-,,74981795916.0,
Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,43.365.078.051,75.512.559.134,,43365078051.0,75512559134.0
Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty TNHH MTV Cadivi Đồng Nai,Công ty con,-,24.860.000.000,,,24860000000.0
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,,2.288.926.363,5.045.706.096,,2288926363.0,5045706096.0
Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty Cổ phần Dây cáp điện Việt Nam,Công ty con,-,2.850.000.000,,,2850000000.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,2.288.926.363,1.917.372.763,,2288926363.0,1917372763.0
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,-,278.333.333,,,278333333.0
Phải trả khác,Phải trả khác,Phải trả khác,,-,16.699.815.109,,,16699815109.0
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,-,16.699.815.109,,,16699815109.0
