row_label_raw,row_label_full,col_0,Tỷ lệ(%),Cuối nămVND,Tỷ lệ(%)_1,Đầu nămVND,numeric__Tỷ lệ(%),numeric__Cuối nămVND,numeric__Tỷ lệ(%)_1,numeric__Đầu nămVND
Công ty TNHH MTV Đầu tư GEX,Công ty TNHH MTV Đầu tư GEX,Công ty TNHH MTV Đầu tư GEX,"23,09%",357.968.000.000,"0,00%",-,0.2309,357968000000.0,0.0,
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,"76,59%",1.187.032.000.000,"99,68%",1.545.000.000.000,0.7659,1187032000000.0,0.9968,1545000000000.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,"0,32%",5.000.000.000,"0,32%",5.000.000.000,0.0032,5000000000.0,0.0032,5000000000.0
,,,100%,1.550.000.000.000,100%,1.550.000.000.000,1.0,1550000000000.0,1.0,1550000000000.0
