row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.400.000.000.000,-,(5.025.000.000),32.500.000.000,242.561.521.349,1.670.036.521.349,1400000000000.0,,-5025000000.0,32500000000.0,242561521349.0,1670036521349.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,150.000.000.000,66.378.000.000,-,-,-,216.378.000.000,150000000000.0,66378000000.0,,,,216378000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,249.651.441.276,249.651.441.276,,,,,249651441276.0,249651441276.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,29.500.000.000,(213.055.000.000),(183.555.000.000),,,,29500000000.0,-213055000000.0,-183555000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.550.000.000.000,66.378.000.000,(5.025.000.000),62.000.000.000,279.157.962.625,1.952.510.962.625,1550000000000.0,66378000000.0,-5025000000.0,62000000000.0,279157962625.0,1952510962625.0
Số dư đầu năm nay (*),Số dư đầu năm nay (*),Số dư đầu năm nay (*),1.550.000.000.000,66.378.000.000,(5.025.000.000),62.000.000.000,279.157.962.625,1.952.510.962.625,1550000000000.0,66378000000.0,-5025000000.0,62000000000.0,279157962625.0,1952510962625.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,305.506.529.160,305.506.529.160,,,,,305506529160.0,305506529160.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,77.656.441.276,(249.651.441.276),(171.995.000.000),,,,77656441276.0,-249651441276.0,-171995000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.550.000.000.000,66.378.000.000,(5.025.000.000),139.656.441.276,335.013.050.509,2.086.022.491.785,1550000000000.0,66378000000.0,-5025000000.0,139656441276.0,335013050509.0,2086022491785.0
