row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụquản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,420.798.728.897,171.158.700.386,18.343.398.586,84.609.739.186,694.910.567.055,420798728897.0,171158700386.0,18343398586.0,84609739186.0,694910567055.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,33.192.870.840,1.123.730.909,301.488.454,34.618.090.203,,33192870840.0,1123730909.0,301488454.0,34618090203.0
- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,Nguyên giá > - Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,(868.795.880),4.644.221.878,-,18.339.099.191,22.114.525.189,-868795880.0,4644221878.0,,18339099191.0,22114525189.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(12.446.679.800),-,-,(12.446.679.800),,-12446679800.0,,,-12446679800.0
- Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđe điện,Nguyên giá > - Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđe điện,- Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđe điện,(106.614.654.999),(147.736.025.353),(9.470.588.586),(7.467.141.181),(271.288.410.119),-106614654999.0,-147736025353.0,-9470588586.0,-7467141181.0,-271288410119.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,313.315.278.018,48.813.087.951,9.996.540.909,95.783.185.650,467.908.092.528,313315278018.0,48813087951.0,9996540909.0,95783185650.0,467908092528.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,119.102.763.701,90.502.161.655,8.765.785.526,7.017.188.900,225.387.899.782,119102763701.0,90502161655.0,8765785526.0,7017188900.0,225387899782.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,11.976.347.113,9.095.683.653,1.951.896.537,8.029.878.939,31.053.806.242,11976347113.0,9095683653.0,1951896537.0,8029878939.0,31053806242.0
- Hao mòn trong năm (*),Giá trị hao mòn lũy kế > - Hao mòn trong năm (*),- Hao mòn trong năm (*),-,211.400.004,-,-,211.400.004,,211400004.0,,,211400004.0
- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,Giá trị hao mòn lũy kế > - Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,- Điều chỉnh theo giá trị quyết toán XDCB hoàn thành,-,-,-,(813.477.557),(813.477.557),,,,-813477557.0,-813477557.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(12.446.679.800),-,-,(12.446.679.800),,-12446679800.0,,,-12446679800.0
- Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđo điện,Giá trị hao mòn lũy kế > - Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđo điện,- Giảm do góp vốn vào Công ty TNHH MTV Thiết bịđo điện,(58.737.675.725),(62.650.925.492),(6.095.790.635),(1.326.599.892),(128.810.991.744),-58737675725.0,-62650925492.0,-6095790635.0,-1326599892.0,-128810991744.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,72.341.435.089,24.711.640.020,4.621.891.428,12.906.990.390,114.581.956.927,72341435089.0,24711640020.0,4621891428.0,12906990390.0,114581956927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,301.695.965.196,80.656.538.731,9.577.613.060,77.592.550.286,469.522.667.273,301695965196.0,80656538731.0,9577613060.0,77592550286.0,469522667273.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,240.973.842.929,24.101.447.931,5.374.649.481,82.876.195.260,353.326.135.601,240973842929.0,24101447931.0,5374649481.0,82876195260.0,353326135601.0
