row_label_raw,row_label_full,Giao dịch phát sinh trong năm (tiếp theo):,Giao dịch phát sinh trong năm (tiếp theo):_1,Giao dịch phát sinh trong năm (tiếp theo):_2,Giao dịch phát sinh trong năm (tiếp theo):_3,numeric__Giao dịch phát sinh trong năm (tiếp theo):_1,numeric__Giao dịch phát sinh trong năm (tiếp theo):_2,numeric__Giao dịch phát sinh trong năm (tiếp theo):_3
Mua hàng hóa dịch vụ,Mua hàng hóa dịch vụ,Mua hàng hóa dịch vụ,,835.432.783.491,713.251.336.333,,835432783491.0,713251336333.0
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty con,910.125.908,3.133.644.387,,910125908.0,3133644387.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,227.548.633.432,110.423.793.474,,227548633432.0,110423793474.0
Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty con,3.728.481.818,-,,3728481818.0,
Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty con,137.320.992.010,,,137320992010.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,5.660.806.538,-,,5660806538.0,
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,89.182.795.835,124.141.279.511,,89182795835.0,124141279511.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty liên kết,27.000.000,-,,27000000.0,
Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,371.053.947.950,452.947.619.761,,371053947950.0,452947619761.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,-,4.999.200,,,4999200.0
Công ty TNHH MTV CADIVI Đồng Nai,Công ty TNHH MTV CADIVI Đồng Nai,Công ty TNHH MTV CADIVI Đồng Nai,Công ty con gián tiếp,-,22.600.000.000,,,22600000000.0
Lãi cho vay vốn,Lãi cho vay vốn,Lãi cho vay vốn,,3.691.049.433,7.155.124.225,,3691049433.0,7155124225.0
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty con,2.839.495.833,5.700.000.000,,2839495833.0,5700000000.0
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,371.553.600,743.107.200,,371553600.0,743107200.0
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,480.000.000,458.333.333,,480000000.0,458333333.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,-,253.683.692,,,253683692.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",,189.637.216.500,127.100.370.311,,189637216500.0,127100370311.0
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty con,56.165.472.000,56.165.472.000,,56165472000.0,56165472000.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,36.088.875.000,29.720.250.000,,36088875000.0,29720250000.0
Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty Cổ phần Chế tạo Bom Hải Dương,Công ty con,2.690.637.000,1.490.700.000,,2690637000.0,1490700000.0
Công ty Cổ phần Sản xuất và Thương mại,Công ty Cổ phần Sản xuất và Thương mại,Công ty Cổ phần Sản xuất và Thương mại,Công ty liên kết,1.020.000.000,765.000.000,,1020000000.0,765000000.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty liên kết,65.824.025.000,19.548.160.000,,65824025000.0,19548160000.0
Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,24.378.127.500,15.940.708.311,,24378127500.0,15940708311.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,3.470.080.000,3.470.080.000,,3470080000.0,3470080000.0
