row_label_raw,row_label_full,Năm nay,Hoạt động tronglãnh thổ Việt Nam,Hoạt động ngoàilãnh thổ Việt Nam,Cộng,numeric__Hoạt động tronglãnh thổ Việt Nam,numeric__Hoạt động ngoàilãnh thổ Việt Nam,numeric__Cộng
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,525.947.851.996,821.924.245.224,1.347.872.097.220,525947851996.0,821924245224.0,1347872097220.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,258.328.465.041,762.268.417.980,1.020.596.883.021,258328465041.0,762268417980.0,1020596883021.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,267.619.386.955,59.655.827.244,327.275.214.199,267619386955.0,59655827244.0,327275214199.0
Năm trước,Năm trước,Năm trước,Hoạt động tronglãnh thổ Việt Nam,Hoạt động ngoàilãnh thổ Việt Nam,Cộng,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,575.086.314.425,969.355.456.704,1.544.441.771.129,575086314425.0,969355456704.0,1544441771129.0
Giá vốn hàng bán,Năm trước > Giá vốn hàng bán,Giá vốn hàng bán,348.581.597.801,907.061.001.879,1.255.642.599.680,348581597801.0,907061001879.0,1255642599680.0
Lợi nhuận gộp,Năm trước > Lợi nhuận gộp,Lợi nhuận gộp,226.504.716.624,62.294.454.825,288.799.171.449,226504716624.0,62294454825.0,288799171449.0
