row_label_raw,row_label_full,Chỉ tiêu > 1. Số dư đầu năm trước > 2. Tăng trong năm trước > - Lãi trong năm > 3. Giảm trong năm trước,Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,Thặng dư vốn cổ phần > 50.510.908.328 > -,Chênh lệch tỷ giả hối đoái > 11.476.301.383 > - > (24.198.445.802),Quỹ Đầu tư phát triển > 6.196.436.959 > -,Lợi nhuận sau thuế chưa phân phối > (866.996.707.685) > 16.673.387.564 > (41.787.470),Lợi ích cổ đông không kiểm soát (*) > 315.562.312.287 > (4.880.785.619) > (178.563.844.834),Cộng > 2.509.846.451.272 > 11.792.601.945 > (202.804.078.106),numeric__Vốn đầu tư của chủ sở hữu > 2.993.097.200.000 > -,numeric__Thặng dư vốn cổ phần > 50.510.908.328 > -,numeric__Chênh lệch tỷ giả hối đoái > 11.476.301.383 > - > (24.198.445.802),numeric__Quỹ Đầu tư phát triển > 6.196.436.959 > -,numeric__Lợi nhuận sau thuế chưa phân phối > (866.996.707.685) > 16.673.387.564 > (41.787.470),numeric__Lợi ích cổ đông không kiểm soát (*) > 315.562.312.287 > (4.880.785.619) > (178.563.844.834),numeric__Cộng > 2.509.846.451.272 > 11.792.601.945 > (202.804.078.106)
- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,-,-,(24.198.445.802),-,,(562.063.518),(24.760.509.320),,,-24198445802.0,,,-562063518.0,-24760509320.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,,,-,,(269.010.000),(269.010.000),,,,,,-269010000.0,-269010000.0
- Giảm do thoái vốn Công ty con,- Giảm do thoái vốn Công ty con,- Giảm do thoái vốn Công ty con,-,,,-,-,(177.692.587.504),(177.692.587.504),,,,,,-177692587504.0,-177692587504.0
- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,- Trích Quỹ khen thưởng phúc lợi,-,,,-,(41.787.470),(40.148.745),(81.936.215),,,,,-41787470.0,-40148745.0,-81936215.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,(35.067),(35.067),,,,,,-35067.0,-35067.0
"4. Số dư cuối năm trước, đầu năm nay","4. Số dư cuối năm trước, đầu năm nay","4. Số dư cuối năm trước, đầu năm nay",2.993.097.200.000,50.510.908.328,(12.722.144.419),6.196.436.959,(850.365.107.591),132.117.681.834,2.318.834.975.111,2993097200000.0,50510908328.0,-12722144419.0,6196436959.0,-850365107591.0,132117681834.0,2318834975111.0
5. Tăng trong năm,5. Tăng trong năm,5. Tăng trong năm,-,-,13.508.961.533,-,-,22.550.192.342,36.059.153.875,,,13508961533.0,,,22550192342.0,36059153875.0
- Tăng từ kết quả kinh doanh,- Tăng từ kết quả kinh doanh,- Tăng từ kết quả kinh doanh,-,-,-,-,-,22.236.416.222,22.236.416.222,,,,,,22236416222.0,22236416222.0
- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,- Chênh lệch tỷ giá chuyên đối Báo cáo tài chính,-,-,13.508.961.533,-,-,313.776.120,13.822.737.653,,,13508961533.0,,,313776120.0,13822737653.0
- Tăng do thoái vốn công ty con,- Tăng do thoái vốn công ty con,- Tăng do thoái vốn công ty con,-,-,-,-,-,-,-,,,,,,,
6. Giảm trong năm,- Tăng do thoái vốn công ty con > 6. Giảm trong năm,6. Giảm trong năm,-,-,-,-,(1.219.413.266.472),(26.460.000.000),(1.245.873.266.472),,,,,-1219413266472.0,-26460000000.0,-1245873266472.0
- Lỗ trong năm,- Tăng do thoái vốn công ty con > - Lỗ trong năm,- Lỗ trong năm,-,-,-,-,(1.219.413.266.472),-,(1.219.413.266.472),,,,,-1219413266472.0,,-1219413266472.0
- Chia cổ tức,- Tăng do thoái vốn công ty con > - Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(26.460.000.000),(26.460.000.000),,,,,,-26460000000.0,-26460000000.0
7. Số dư cuối năm,- Tăng do thoái vốn công ty con > 7. Số dư cuối năm,7. Số dư cuối năm,2.993.097.200.000,50.510.908.328,786.817.114,6.196.436.959,(2.069.778.374.063),128.207.874.176,1.109.020.862.514,2993097200000.0,50510908328.0,786817114.0,6196436959.0,-2069778374063.0,128207874176.0,1109020862514.0
