row_label_raw,row_label_full,Số dư đầu năm > Phát sinh trong năm > Phân bổ trong năm,Năm nay > 104.078.427.070 > 3.838.355.055 > (34.130.212.348),Năm trước > 78.295.758.401 > 54.634.362.558 > (23.591.963.258),numeric__Năm nay > 104.078.427.070 > 3.838.355.055 > (34.130.212.348),numeric__Năm trước > 78.295.758.401 > 54.634.362.558 > (23.591.963.258)
Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,Ảnh hưởng chênh lệch tỷ giá,1.348.995.152,(1.232.104.256),1348995152.0,-1232104256.0
Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,Ảnh hưởng do chuyển đổi báo cáo tài chính,(2.496.795.402),1.485.246.156,-2496795402.0,1485246156.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,,(5.512.872.531),,-5512872531.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,72.638.769.527,104.078.427.070,72638769527.0,104078427070.0
