row_label_raw,row_label_full,"Tên ngân hàng và tổ chức > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Hợp đồng tín dụng số 45/HĐTD ngày26/02/2011 và văn bản sửa đổi hợp đồng tín dụng ngày 19/05/2014, phụ lực số 16 ngày29/09/2022 về việc thay đổi thời hạn trả nợ gốc",Số tiền > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 523.234.045.444,"Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Thời hạn vay là 13,5 năm kể từ ngày nhận tiền vay lần đầu. Thời gian ân hạn: 4,5 năm, từ ngày giải ngân khoản vay đầu tiên (từ ngày 03/06/2011 đến ngày 03/12/2015)",Lãi suất > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất áp dụng theo lãi suất điều chỉnh.,"Tài sản thế chấp(Thuyết minh số V.10, V.12) > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Quyền tài sản phát sinh từ hợp đồng BOT số 01/HĐBOT ngày 01/09/2010 và các phụ lục kèm theo được ký kết giữa Ủy ban Nhân dân Tỉnh Đắk Nông với Công ty Cổ phần BOT và BT Đức Long Đắk Nông; Toàn bộ quyền khai thác, thu phí các trạm thu phí đoạn Km 817 – Km 887 trên quốc lộ 14 tỉnh Đắk Nông; Các tài sản khác phát sinh từ ưu đãi đầu tư theo hợp đồng BOT",numeric__Số tiền > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > 523.234.045.444,"numeric__Thời hạn thanh toán và ngày đáo hạn > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Thời hạn vay là 13,5 năm kể từ ngày nhận tiền vay lần đầu. Thời gian ân hạn: 4,5 năm, từ ngày giải ngân khoản vay đầu tiên (từ ngày 03/06/2011 đến ngày 03/12/2015)",numeric__Lãi suất > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Lãi suất áp dụng theo lãi suất điều chỉnh.,"numeric__Tài sản thế chấp(Thuyết minh số V.10, V.12) > Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai > Quyền tài sản phát sinh từ hợp đồng BOT số 01/HĐBOT ngày 01/09/2010 và các phụ lục kèm theo được ký kết giữa Ủy ban Nhân dân Tỉnh Đắk Nông với Công ty Cổ phần BOT và BT Đức Long Đắk Nông; Toàn bộ quyền khai thác, thu phí các trạm thu phí đoạn Km 817 – Km 887 trên quốc lộ 14 tỉnh Đắk Nông; Các tài sản khác phát sinh từ ưu đãi đầu tư theo hợp đồng BOT"
Tổng cộng,Tổng cộng,Tổng cộng,523.234.045.444,,,,523234045444.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Vay dài hạn:,Trong đó: > Vay dài hạn:,Vay dài hạn:,440.281.403.555,,,,440281403555.0,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,82.952.641.889,,,,82952641889.0,,,
