row_label_raw,row_label_full,Chi tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Giá vốn bán hàng,Giá vốn bán hàng,Giá vốn bán hàng,826.969.069.843,1.101.737.567.463,826969069843.0,1101737567463.0
- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,- Giá vốn bán linh kiện điện tử,756.769.822.340,910.445.477.760,756769822340.0,910445477760.0
- Giá vốn bán đá,- Giá vốn bán đá,- Giá vốn bán đá,27.146.624.412,46.905.681.517,27146624412.0,46905681517.0
- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,- Giá vốn bán điện thương phẩm,38.370.677.288,34.972.532.711,38370677288.0,34972532711.0
"- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ","- Giá vốn bán gỗ, thành phẩm từ gỗ",4.681.945.803,5.437.530.809,4681945803.0,5437530809.0
- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,-,54.806.170.666,,54806170666.0
- Giá vốn bán phân bón,- Giá vốn bán phân bón,- Giá vốn bán phân bón,-,49.150.236.500,,49150236500.0
- Giá vốn khác,- Giá vốn khác,- Giá vốn khác,-,19.937.500,,19937500.0
Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,183.752.441.309,154.025.793.124,183752441309.0,154025793124.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,177.876.250.941,149.962.710.899,177876250941.0,149962710899.0
- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,- Dịch vụ cho thuê tài sản,5.868.690.368,4.053.082.225,5868690368.0,4053082225.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,7.500.000,10.000.000,7500000.0,10000000.0
Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,Dự phòng giảm giá HTK,8.772.275.538,115.906.427,8772275538.0,115906427.0
Hoàn nhập dự phòng giảm giá HTK,Hoàn nhập dự phòng giảm giá HTK,Hoàn nhập dự phòng giảm giá HTK,-,(3.384.475.881),,-3384475881.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,1.103.096.331,3.147.808.547,1103096331.0,3147808547.0
Cộng,Cộng,Cộng,1.020.596.883.021,1.255.642.599.680,1020596883021.0,1255642599680.0
