row_label_raw,row_label_full,Chỉ tiết gồm:,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,922.199.487.632,1.202.203.772.562,922199487632.0,1202203772562.0
- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,- Doanh thu bán linh kiện điện tử,821.925.595.009,974.121.623.367,821925595009.0,974121623367.0
- Doanh thu bán đá,- Doanh thu bán đá,- Doanh thu bán đá,27.430.830.000,46.958.394.600,27430830000.0,46958394600.0
- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,- Doanh thu bán điện thương phẩm,68.355.972.465,69.381.535.720,68355972465.0,69381535720.0
"- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ","- Doanh thu bán gỗ, thành phẩm từ gỗ",4.487.090.158,8.264.644.433,4487090158.0,8264644433.0
- Doanh thu sản phẩm nông nghiệp,- Doanh thu sản phẩm nông nghiệp,- Doanh thu sản phẩm nông nghiệp,-,54.205.114.314,,54205114314.0
- Doanh thu bán phân bón,- Doanh thu bán phân bón,- Doanh thu bán phân bón,-,49.229.437.400,,49229437400.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,-,43.022.728,,43022728.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,425.595.814.272,345.936.509.925,425595814272.0,345936509925.0
- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,- Dịch vụ trạm thu phí BOT,420.885.233.913,341.064.758.635,420885233913.0,341064758635.0
- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,- Doanh thu cho thuê tài sản,4.210.098.121,4.419.114.967,4210098121.0,4419114967.0
- Dịch vụ bến xe,- Dịch vụ bến xe,- Dịch vụ bến xe,500.482.238,452.636.323,500482238.0,452636323.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,78.145.101,1.067.655.305,78145101.0,1067655305.0
Cộng,Cộng,Cộng,1.347.873.447.005,1.549.207.937.792,1347873447005.0,1549207937792.0
