row_label_raw,row_label_full,Chỉ tiêu,Quyền sử dụng đất,Phần mềm máy tính,Chỉ phí triển khai,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Chỉ phí triển khai,numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,21.723.189.930,397.684.000,212.262.985.428,234.383.859.358,21723189930.0,397684000.0,212262985428.0,234383859358.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,-,-,16.254.979.190,16.254.979.190,,,16254979190.0,16254979190.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,-,-,9.539.431.902,9.539.431.902,,,9539431902.0,9539431902.0
- Chênh lệch do chuyển đổi BCTC,I. Nguyên giá TSCĐ hữu hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,6.715.547.288,6.715.547.288,,,6715547288.0,6715547288.0
3. Giảm trong năm,I. Nguyên giá TSCĐ hữu hình > 3. Giảm trong năm,3. Giảm trong năm,(21.641.537.135),-,-,(21.641.537.135),-21641537135.0,,,-21641537135.0
- Giảm do thoái vốn công ty con,I. Nguyên giá TSCĐ hữu hình > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(21.641.537.135),-,-,(21.641.537.135),-21641537135.0,,,-21641537135.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,-,-,,,,
4. Số dư cuối năm,- Giảm khác > 4. Số dư cuối năm,4. Số dư cuối năm,81.652.795,397.684.000,228.517.964.618,228.997.301.413,81652795.0,397684000.0,228517964618.0,228997301413.0
II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,,,,,,,,
1 Số dư đầu năm,II Giá trị hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,879.885.111,392.972.501,178.972.421.316,180.245.278.928,879885111.0,392972501.0,178972421316.0,180245278928.0
2. Tăng trong năm,II Giá trị hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,238.832.982,4.711.499,22.196.276.242,22.439.820.723,238832982.0,4711499.0,22196276242.0,22439820723.0
- Khấu hao trong năm,II Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,238.832.982,4.711.499,16.579.589.370,16.823.133.851,238832982.0,4711499.0,16579589370.0,16823133851.0
- Chênh lệch do chuyển đổi BCTC,II Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,-,-,5.616.686.872,5.616.686.872,,,5616686872.0,5616686872.0
3. Giảm trong năm,II Giá trị hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,(1.037.065.298),-,-,(1.037.065.298),-1037065298.0,,,-1037065298.0
- Giảm do thoái vốn công ty con,II Giá trị hao mòn lũy kế > - Giảm do thoái vốn công ty con,- Giảm do thoái vốn công ty con,(1.037.065.298),-,-,(1.037.065.298),-1037065298.0,,,-1037065298.0
4. Số dư cuối năm,II Giá trị hao mòn lũy kế > 4. Số dư cuối năm,4. Số dư cuối năm,81.652.795,397.684.000,201.168.697.558,201.648.034.353,81652795.0,397684000.0,201168697558.0,201648034353.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,20.843.304.819,4.711.499,33.290.564.112,54.138.580.430,20843304819.0,4711499.0,33290564112.0,54138580430.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,-,-,27.349.267.060,27.349.267.060,,,27349267060.0,27349267060.0
