row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Vườn cây,Tài sản khác (Dự án BOT),Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Vườn cây,numeric__Tài sản khác (Dự án BOT),numeric__Cộng
I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,I. Nguyên giá TSCĐ hữu hình,,,,,,,,,,,,,,
1. Số dư đầu năm,I. Nguyên giá TSCĐ hữu hình > 1. Số dư đầu năm,1. Số dư đầu năm,600.067.752.026,876.206.796.117,29.223.656.667,96.653.002.695,176.497.581.455,2.426.432.709.413,4.205.081.498.373,600067752026.0,876206796117.0,29223656667.0,96653002695.0,176497581455.0,2426432709413.0,4205081498373.0
2. Tăng trong năm,I. Nguyên giá TSCĐ hữu hình > 2. Tăng trong năm,2. Tăng trong năm,2.627.306.218,21.222.685.158,983.993.271,3.063.004.880,-,-,27.896.989.527,2627306218.0,21222685158.0,983993271.0,3063004880.0,,,27896989527.0
- Tăng do mua mới,I. Nguyên giá TSCĐ hữu hình > - Tăng do mua mới,- Tăng do mua mới,239.579.880,2.072.048.598,744.709.091,-,-,-,3.056.337.569,239579880.0,2072048598.0,744709091.0,,,,3056337569.0
- Tăng từ xây dựng cơ bản dà dạng,I. Nguyên giá TSCĐ hữu hình > - Tăng từ xây dựng cơ bản dà dạng,- Tăng từ xây dựng cơ bản dà dạng,1.568.077.778,-,-,-,-,-,1.568.077.778,1568077778.0,,,,,,1568077778.0
- Chênh lệch do chuyển đổi BCTC,I. Nguyên giá TSCĐ hữu hình > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,819.648.560,19.150.636.560,239.284.180,3.063.004.880,-,-,23.272.574.180,819648560.0,19150636560.0,239284180.0,3063004880.0,,,23272574180.0
3. Giảm trong năm,I. Nguyên giá TSCĐ hữu hình > 3. Giảm trong năm,3. Giảm trong năm,(89.210.880.780),(669.485.346),-,(90.328.396),-,-,(89.970.694.522),-89210880780.0,-669485346.0,,-90328396.0,,,-89970694522.0
"- Thanh lý, nhượng bán","I. Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(669.485.346),-,(41.718.396),-,-,(711.203.742),,-669485346.0,,-41718396.0,,,-711203742.0
- Giảm do thoái vốn công ty con cấp 2,I. Nguyên giá TSCĐ hữu hình > - Giảm do thoái vốn công ty con cấp 2,- Giảm do thoái vốn công ty con cấp 2,(89.210.880.780),-,-,(48.610.000),-,-,(89.259.490.780),-89210880780.0,,,-48610000.0,,,-89259490780.0
4. Số dư cuối năm,I. Nguyên giá TSCĐ hữu hình > 4. Số dư cuối năm,4. Số dư cuối năm,513.484.177.464,896.759.995.929,30.207.649.938,99.625.679.179,176.497.581.455,2.426.432.709.413,4.143.007.793.378,513484177464.0,896759995929.0,30207649938.0,99625679179.0,176497581455.0,2426432709413.0,4143007793378.0
II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,II Giá trị hao mòn lũy kế,,,,,,,,,,,,,,
1 Số dư đầu năm,II Giá trị hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,127.427.707.994,608.485.279.171,26.227.759.369,94.582.762.771,26.867.940.453,520.786.969.156,1.404.378.418.914,127427707994.0,608485279171.0,26227759369.0,94582762771.0,26867940453.0,520786969156.0,1404378418914.0
2. Tăng trong năm,II Giá trị hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,21.072.434.155,44.706.099.346,997.334.549,3.585.641.996,8.897.087.280,104.100.117.974,183.358.715.300,21072434155.0,44706099346.0,997334549.0,3585641996.0,8897087280.0,104100117974.0,183358715300.0
- Khấu hao trong năm,II Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,20.361.778.083,26.297.305.026,773.109.317,576.722.692,8.897.087.280,104.100.117.974,161.006.120.372,20361778083.0,26297305026.0,773109317.0,576722692.0,8897087280.0,104100117974.0,161006120372.0
- Chênh lệch do chuyển đổi BCTC,II Giá trị hao mòn lũy kế > - Chênh lệch do chuyển đổi BCTC,- Chênh lệch do chuyển đổi BCTC,710.656.072,18.408.794.320,224.225.232,3.008.919.304,-,-,22.352.594.928,710656072.0,18408794320.0,224225232.0,3008919304.0,,,22352594928.0
3. Giảm trong năm,II Giá trị hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,(26.423.108.851),(345.902.808),-,(58.599.023),-,-,(26.827.610.682),-26423108851.0,-345902808.0,,-58599023.0,,,-26827610682.0
"- Thanh lý, nhượng bán","II Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(345.902.808),-,(37.547.754),-,-,(383.450.562),,-345902808.0,,-37547754.0,,,-383450562.0
- Giảm do thoái vốn công ty con cấp 2,II Giá trị hao mòn lũy kế > - Giảm do thoái vốn công ty con cấp 2,- Giảm do thoái vốn công ty con cấp 2,(26.423.108.851),-,-,(21.051.269),-,-,(26.444.160.120),-26423108851.0,,,-21051269.0,,,-26444160120.0
4. Số dư cuối năm,II Giá trị hao mòn lũy kế > 4. Số dư cuối năm,4. Số dư cuối năm,122.077.033.298,652.845.475.709,27.225.093.918,98.109.805.744,35.765.027.733,624.887.087.130,1.560.909.523.532,122077033298.0,652845475709.0,27225093918.0,98109805744.0,35765027733.0,624887087130.0,1560909523532.0
III. Giá trị còn lai,III. Giá trị còn lai,III. Giá trị còn lai,,,,,,,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lai > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,472.640.044.032,267.721.516.946,2.995.897.298,2.070.239.924,149.629.641.002,1.905.645.740.257,2.800.703.079.459,472640044032.0,267721516946.0,2995897298.0,2070239924.0,149629641002.0,1905645740257.0,2800703079459.0
2. Tại ngày cuối năm,III. Giá trị còn lai > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,391.407.144.166,243.914.520.220,2.982.556.020,1.515.873.435,140.732.553.722,1.801.545.622.283,2.582.098.269.846,391407144166.0,243914520220.0,2982556020.0,1515873435.0,140732553722.0,1801545622283.0,2582098269846.0
