row_label_raw,row_label_full,Số đầu năm,Năm nay > (311.820.125.829),Năm trước > (449.427.929.822),numeric__Năm nay > (311.820.125.829),numeric__Năm trước > (449.427.929.822)
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,(1.193.548.035.016),(93.610.412.269),-1193548035016.0,-93610412269.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,65.286.418.918,155.023.021.254,65286418918.0,155023021254.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,(66.149.587),76.090.384.135,-66149587.0,76090384135.0
Ảnh hưởng chuyển đổi báo cáo,Ảnh hưởng chuyển đổi báo cáo,Ảnh hưởng chuyển đổi báo cáo,(55.299.347),104.810.873,-55299347.0,104810873.0
Số cuối năm,Số cuối năm,Số cuối năm,(1.440.203.190.861),(311.820.125.829),-1440203190861.0,-311820125829.0
