row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm > Phải nộp,Số đầu năm > Phải thu,Số phát sinh trong năm > Số phải nộp,Số phát sinh trong năm > Số đã nộp,Hoàn nhập,Thay.đổi do chênh lệch tỷ giá,Số cuối năm > Phải nộp,Số cuối năm > Phải thu,numeric__Số đầu năm > Phải nộp,numeric__Số đầu năm > Phải thu,numeric__Số phát sinh trong năm > Số phải nộp,numeric__Số phát sinh trong năm > Số đã nộp,numeric__Hoàn nhập,numeric__Thay.đổi do chênh lệch tỷ giá,numeric__Số cuối năm > Phải nộp,numeric__Số cuối năm > Phải thu
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,9.264.137.944,-,38.096.599.559,(39.951.383.814),-,-,7.409.353.689,-,9264137944.0,,38096599559.0,-39951383814.0,,,7409353689.0,
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,68.036.317.834,-,12.534.100.009,(52.145.509.846),35.819.278.878,1.455.207.598,65.699.944.473,550.000,68036317834.0,,12534100009.0,-52145509846.0,35819278878.0,1455207598.0,65699944473.0,550000.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.748.498.826,2.912.617,592.640.670,(2.324.648.022),-,-,14.522.171,943.314,1748498826.0,2912617.0,592640670.0,-2324648022.0,,,14522171.0,943314.0
"Thuế nhà đất, thuê đất","Thuế nhà đất, thuê đất","Thuế nhà đất, thuê đất",2.302.327.746,1.247.455,1.441.418.573,(588.929.043),-,-,3.154.817.276,1.247.455,2302327746.0,1247455.0,1441418573.0,-588929043.0,,,3154817276.0,1247455.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,360.345.446,-,4.790.429.397,(4.858.252.970),-,-,292.521.873,-,360345446.0,,4790429397.0,-4858252970.0,,,292521873.0,
Thuế môn bài,Thuế môn bài,Thuế môn bài,-,-,15.000.000,(15.000.000),-,-,-,-,,,15000000.0,-15000000.0,,,,
Khoản thuế khác,Khoản thuế khác,Khoản thuế khác,2.984.085.099,-,4.212.920.852,(3.095.687.018),-,-,4.101.318.933,-,2984085099.0,,4212920852.0,-3095687018.0,,,4101318933.0,
Tổng,Tổng,Tổng,84.695.712.895,4.160.072,61.683.109.060,(102.979.410.713),35.819.278.878,1.455.207.598,80.672.478.415,2.740.769,84695712895.0,4160072.0,61683109060.0,-102979410713.0,35819278878.0,1455207598.0,80672478415.0,2740769.0
