row_label_raw,row_label_full,Giá trị đầu năm > Tăng trong năm > Phân bổ trong năm,Năm nay > 255.114.475.127 > - > (48.537.588.167),Năm trước > 327.911.218.096 > - > (50.593.791.496),numeric__Năm nay > 255.114.475.127 > - > (48.537.588.167),numeric__Năm trước > 327.911.218.096 > - > (50.593.791.496)
Ảnh hưởng do chuyển đổi báo cáo,Ảnh hưởng do chuyển đổi báo cáo,Ảnh hưởng do chuyển đổi báo cáo,3.586.035.692,(3.865.347.851),3586035692.0,-3865347851.0
Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,Ảnh hưởng do thoái vốn công ty con,-,(18.337.603.622),,-18337603622.0
Giá trị cuối năm,Giá trị cuối năm,Giá trị cuối năm,210.162.922.652,255.114.475.127,210162922652.0,255114475127.0
