row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Lợi nhuận chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2016 – đã điều chỉnh lại,5.000.000.000.000,29.911.650.892,266.289.668.614,543.092.845.223,5.839.294.164.729,5000000000000.0,29911650892.0,266289668614.0,543092845223.0,5839294164729.0
Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),5.000.000.000.000,29.911.650.892,266.289.668.614,235.664.195.144,5.531.865.514.650,5000000000000.0,29911650892.0,266289668614.0,235664195144.0,5531865514650.0
Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),Số dư tại ngày 1 tháng 1 năm 2016 – đã báo cáo trước đây Điều chỉnh lại (Thuyết minh 38),-,-,-,307.428.650.079,307.428.650.079,,,,307428650079.0,307428650079.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,267.704.971.894,-,267.704.971.894,,,267704971894.0,,267704971894.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,(13.314.483.430),-,(13.314.483.430),,,-13314483430.0,,-13314483430.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,(250.000.000.000),-,(250.000.000.000),,,-250000000000.0,,-250000000000.0
Số dư tại ngày 1 tháng 1 năm 2017 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2017 – đã điều chỉnh lại,Số dư tại ngày 1 tháng 1 năm 2017 – đã điều chỉnh lại,5.000.000.000.000,29.911.650.892,270.680.157.078,543.092.845.223,5.843.684.653.193,5000000000000.0,29911650892.0,270680157078.0,543092845223.0,5843684653193.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,255.490.153.657,-,255.490.153.657,,,255490153657.0,,255490153657.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,(13.385.248.595),-,(13.385.248.595),,,-13385248595.0,,-13385248595.0
Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),Cổ tức (Thuyết minh 22),-,-,(250.000.000.000),-,(250.000.000.000),,,-250000000000.0,,-250000000000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(128),(128),,,,-128.0,-128.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,5.000.000.000.000,29.911.650.892,262.785.062.140,543.092.845.095,5.835.789.558.127,5000000000000.0,29911650892.0,262785062140.0,543092845095.0,5835789558127.0
