row_label_raw,row_label_full,col_0,1/1/2017VND,Số đã nộp trong năm VND,Số phát sinh/dã thu được trong năm VND,31/12/2017VND,numeric__1/1/2017VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/dã thu được trong năm VND,numeric__31/12/2017VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
Văn phòng,Thuế > Văn phòng,Văn phòng,220.220.199,-,-,220.220.199,220220199.0,,,220220199.0
"Thuế xuất, nhập khẩu","Thuế > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",564.321.747,342.617.092,(496.342.770),410.596.069,564321747.0,342617092.0,-496342770.0,410596069.0
Văn phòng,Thuế > Văn phòng,Văn phòng,57.246.431,-,(4.483.272),52.763.159,57246431.0,,-4483272.0,52763159.0
Chi nhánh Văn phòng Hồ Chí Minh,Thuế > Chi nhánh Văn phòng Hồ Chí Minh,Chi nhánh Văn phòng Hồ Chí Minh,507.075.316,108.118.972,(257.361.378),357.832.910,507075316.0,108118972.0,-257361378.0,357832910.0
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,54.082.991,(54.082.991),-,,54082991.0,-54082991.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,121.868.221,(121.868.221),-,,121868221.0,-121868221.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,2.752.674,(2.752.674),-,,2752674.0,-2752674.0,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,53.569.293,(53.569.293),-,,53569293.0,-53569293.0,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,2.224.941,(2.224.941),-,,2224941.0,-2224941.0,
Thuế thu nhập cá nhân,Thuế > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,-,89.291.705,(88.953.024),338.681,,89291705.0,-88953024.0,338681.0
Chi nhánh Văn phòng Hồ Chí Minh,Thuế > Chi nhánh Văn phòng Hồ Chí Minh,Chi nhánh Văn phòng Hồ Chí Minh,-,89.291.705,(88.953.024),338.681,,89291705.0,-88953024.0,338681.0
,,,784.541.946,431.908.797,(585.295.794),631.154.949,784541946.0,431908797.0,-585295794.0,631154949.0
