row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2017VND,1/1/2017VND,,
Phải trả người bán là các công ty con,Phải trả người bán là các công ty con,Phải trả người bán là các công ty con,Phải trả người bán là các công ty con,Phải trả người bán là các công ty con,,
Công ty TNHH Một thành viên Đệt kim Đông Phương,Phải trả người bán là các công ty con > Công ty TNHH Một thành viên Đệt kim Đông Phương,Công ty TNHH Một thành viên Đệt kim Đông Phương,-,5.829.960.836,,5829960836.0
Tổng Công ty Cổ phần Đệt May Hà Nội,Phải trả người bán là các công ty con > Tổng Công ty Cổ phần Đệt May Hà Nội,Tổng Công ty Cổ phần Đệt May Hà Nội,2.220.331.644,-,2220331644.0,
Tổng Công ty Cổ phần Đệt May Nam Định,Phải trả người bán là các công ty con > Tổng Công ty Cổ phần Đệt May Nam Định,Tổng Công ty Cổ phần Đệt May Nam Định,1.170.869.004,780.100.018,1170869004.0,780100018.0
Công ty Cổ phần Phát triển Hạ tầng Đệt May Phó Nói,Phải trả người bán là các công ty con > Công ty Cổ phần Phát triển Hạ tầng Đệt May Phó Nói,Công ty Cổ phần Phát triển Hạ tầng Đệt May Phó Nói,-,1.949.447.972,,1949447972.0
Các công ty con khác,Phải trả người bán là các công ty con > Các công ty con khác,Các công ty con khác,297.453.152,22.453.152,297453152.0,22453152.0
Phải trả người bán là các công ty liên kết,Phải trả người bán là các công ty liên kết,Phải trả người bán là các công ty liên kết,Phải trả người bán là các công ty liên kết,Phải trả người bán là các công ty liên kết,,
Tổng Công ty May 10 – CTCP,Phải trả người bán là các công ty liên kết > Tổng Công ty May 10 – CTCP,Tổng Công ty May 10 – CTCP,6.092.704.914,1.150.075.051,6092704914.0,1150075051.0
Tổng Công ty Việt Thắng – CTCP,Phải trả người bán là các công ty liên kết > Tổng Công ty Việt Thắng – CTCP,Tổng Công ty Việt Thắng – CTCP,3.955.333.800,-,3955333800.0,
Tổng Công ty Đức Giang – CTCP,Phải trả người bán là các công ty liên kết > Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,5.322.046.399,4.179.091.590,5322046399.0,4179091590.0
Các công ty liên kết khác,Phải trả người bán là các công ty liên kết > Các công ty liên kết khác,Các công ty liên kết khác,-,79.485.841,,79485841.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,,
Công ty Cổ phần May Tiền Tiến,Phải trả người bán khác > Công ty Cổ phần May Tiền Tiến,Công ty Cổ phần May Tiền Tiến,17.020.434.656,18.758.547.251,17020434656.0,18758547251.0
Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,Phải trả người bán khác > Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,5.316.209.000,2.243.452.000,5316209000.0,2243452000.0
Tổng Công ty Cổ phần Sông Hồng,Phải trả người bán khác > Tổng Công ty Cổ phần Sông Hồng,Tổng Công ty Cổ phần Sông Hồng,3.781.278.350,4.016.714.853,3781278350.0,4016714853.0
Công ty Cổ phần Đầu tư Thương mại Hưng Thịnh Phú,Phải trả người bán khác > Công ty Cổ phần Đầu tư Thương mại Hưng Thịnh Phú,Công ty Cổ phần Đầu tư Thương mại Hưng Thịnh Phú,3.452.386.017,-,3452386017.0,
Công ty Cổ phần Đầu tư Thiết kế Xây dựng An Thịnh Phát,Phải trả người bán khác > Công ty Cổ phần Đầu tư Thiết kế Xây dựng An Thịnh Phát,Công ty Cổ phần Đầu tư Thiết kế Xây dựng An Thịnh Phát,2.656.477.385,-,2656477385.0,
Công ty Cổ phần Xây dựng Byd Việt Nam,Phải trả người bán khác > Công ty Cổ phần Xây dựng Byd Việt Nam,Công ty Cổ phần Xây dựng Byd Việt Nam,1.928.956.200,19.023.571.173,1928956200.0,19023571173.0
Công ty TNHH Bentex Trading,Phải trả người bán khác > Công ty TNHH Bentex Trading,Công ty TNHH Bentex Trading,23.407.956,125.252.256,23407956.0,125252256.0
Nataka Corporate Private Limited,Phải trả người bán khác > Nataka Corporate Private Limited,Nataka Corporate Private Limited,-,41.374.225.200,,41374225200.0
"Shanghai Weishi Machinery Co., Ltd.","Phải trả người bán khác > Shanghai Weishi Machinery Co., Ltd.","Shanghai Weishi Machinery Co., Ltd.",-,2.098.626.000,,2098626000.0
Truetzschler GmbH & Co. KG,Phải trả người bán khác > Truetzschler GmbH & Co. KG,Truetzschler GmbH & Co. KG,-,172.659.480,,172659480.0
"Tung Shing Sewing Machine Co., Ltd","Phải trả người bán khác > Tung Shing Sewing Machine Co., Ltd","Tung Shing Sewing Machine Co., Ltd",-,28.587.688.800,,28587688800.0
Các nhà cung cấp khác,Phải trả người bán khác > Các nhà cung cấp khác,Các nhà cung cấp khác,32.063.894.971,34.237.195.747,32063894971.0,34237195747.0
,,,89.928.105.629,164.628.547.220,89928105629.0,164628547220.0
