row_label_raw,row_label_full,col_0,Theo báo cáotrước đãyVND,1/1/2017,1/1/2017_1,numeric__Theo báo cáotrước đãyVND,numeric__1/1/2017,numeric__1/1/2017_1
,,,Theo báo cáotrước đãyVND,Số điều chỉnhVND,Đã điều chỉnh lạiVND,,,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,1.345.746.466.984,136.932.000.000,1.482.678.466.984,1345746466984.0,136932000000.0,1482678466984.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,73.798.409.337,170.496.650.079,244.295.059.416,73798409337.0,170496650079.0,244295059416.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,235.664.195.144,307.428.650.079,543.092.845.223,235664195144.0,307428650079.0,543092845223.0
