row_label_raw,row_label_full,col_0,1/1/2017 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2017 VND,numeric__1/1/2017 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2017 VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,448.105.524,48.754.137.869,-,(1.510.078.406),(47.692.164.987),-,448105524.0,48754137869.0,,-1510078406.0,-47692164987.0,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,16.321.447.967,-,-,(16.321.447.967),-,,16321447967.0,,,-16321447967.0,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,5.676.560.970,-,-,(5.676.560.970),-,,5676560970.0,,,-5676560970.0,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,448.105.524,37.171.344,-,(460.333.411),(24.943.457),-,448105524.0,37171344.0,,-460333411.0,-24943457.0,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,2.277.522.926,-,-,(2.277.522.926),-,,2277522926.0,,,-2277522926.0,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,8.345.594.862,-,-,(8.345.594.862),-,,8345594862.0,,,-8345594862.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,3.316.064.593,-,-,(3.316.064.593),-,,3316064593.0,,,-3316064593.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,8.012.917.714,-,(322.504.642),(7.690.413.072),-,,8012917714.0,,-322504642.0,-7690413072.0,
Trung tâm XLNT KCN Đệt May Phố Nói,Thuế > Trung tâm XLNT KCN Đệt May Phố Nói,Trung tâm XLNT KCN Đệt May Phố Nói,-,4.766.857.493,-,(727.240.353),(4.039.617.140),-,,4766857493.0,,-727240353.0,-4039617140.0,
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,4.704.245.365,(4.704.245.365),-,-,,,4704245365.0,-4704245365.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,2.883.234.963,(2.883.234.963),-,-,,,2883234963.0,-2883234963.0,,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,99.744.881,(99.744.881),-,-,,,99744881.0,-99744881.0,,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,691.472.930,(691.472.930),-,-,,,691472930.0,-691472930.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,662.719.155,(662.719.155),-,-,,,662719155.0,-662719155.0,,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,237.817.394,(237.817.394),-,-,,,237817394.0,-237817394.0,,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,-,127.599.701,(127.599.701),-,-,,,127599701.0,-127599701.0,,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,-,1.656.341,(1.656.341),-,-,,,1656341.0,-1656341.0,,
Thuế nhà thầu,Thuế > Thuế nhà thầu,Thuế nhà thầu,10.960.348,-,92.180.677,(103.141.025),-,-,10960348.0,,92180677.0,-103141025.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,10.960.348,-,28.785.921,(39.746.269),-,-,10960348.0,,28785921.0,-39746269.0,,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,33.097.980,(33.097.980),-,-,,,33097980.0,-33097980.0,,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,30.296.776,(30.296.776),-,-,,,30296776.0,-30296776.0,,
