row_label_raw,row_label_full,col_0,31/12/2017 > Tỷ lệ % sở hữu,31/12/2017 > Tỷ lệ % quyền biểu quyết,31/12/2017 > Giá gốc VND,31/12/2017 > Dự phòng VND,31/12/2017 > Giá trị hợp lý VND,1/1/2017 > Tỷ lệ % sở hữu,1/1/2017 > Tỷ lệ % quyền biểu quyết,1/1/2017 > Giá gốc VND,1/1/2017 > Dự phòng VND,numeric__31/12/2017 > Tỷ lệ % sở hữu,numeric__31/12/2017 > Tỷ lệ % quyền biểu quyết,numeric__31/12/2017 > Giá gốc VND,numeric__31/12/2017 > Dự phòng VND,numeric__31/12/2017 > Giá trị hợp lý VND,numeric__1/1/2017 > Tỷ lệ % sở hữu,numeric__1/1/2017 > Tỷ lệ % quyền biểu quyết,numeric__1/1/2017 > Giá gốc VND,numeric__1/1/2017 > Dự phòng VND
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,,
Tổng Công ty Cổ phần Phong Phú,Công ty con > Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,"51,00%","51,00%",529.510.310.129,-,(*),"51,00%","51,00%",529.510.310.129,-,0.51,0.51,529510310129.0,,,0.51,0.51,529510310129.0,
Công ty TNHH Đệt kim Đông Phương,Công ty con > Công ty TNHH Đệt kim Đông Phương,Công ty TNHH Đệt kim Đông Phương,"100,00%","100,00%",156.584.867.884,-,(*),"100,00%","100,00%",156.584.867.884,-,1.0,1.0,156584867884.0,,,1.0,1.0,156584867884.0,
Tổng Công ty Cổ phần Đệt May Hòa Tho (i),Công ty con > Tổng Công ty Cổ phần Đệt May Hòa Tho (i),Tổng Công ty Cổ phần Đệt May Hòa Tho (i),"64,96%","64,96%",189.153.465.950,-,(*),"64,96%","64,96%",150.422.075.950,-,0.6496,0.6496,189153465950.0,,,0.6496,0.6496,150422075950.0,
Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,Công ty con > Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,Công ty Cổ phần Sản xuất – Xuất nhập khẩu Đệt May,"68,34%","68,34%",23.107.500.000,(23.107.500.000),(*),"68,34%","68,34%",23.107.500.000,(15.795.000.000),0.6834,0.6834,23107500000.0,-23107500000.0,,0.6834,0.6834,23107500000.0,-15795000000.0
Tổng Công ty Cổ phần Đệt May Nam Đình,Công ty con > Tổng Công ty Cổ phần Đệt May Nam Đình,Tổng Công ty Cổ phần Đệt May Nam Đình,"53,67%","53,67%",81.555.023.813,-,(*),"53,67%","53,67%",81.555.023.813,-,0.5367000000000001,0.5367000000000001,81555023813.0,,,0.5367000000000001,0.5367000000000001,81555023813.0,
Công ty TNHH Một thành viên Đệt kim Đông Xuân,Công ty con > Công ty TNHH Một thành viên Đệt kim Đông Xuân,Công ty TNHH Một thành viên Đệt kim Đông Xuân,"100,00%","100,00%",115.815.363.458,-,(*),"100,00%","100,00%",115.815.363.458,-,1.0,1.0,115815363458.0,,,1.0,1.0,115815363458.0,
Công ty Cổ phần Len Việt Nam,Công ty con > Công ty Cổ phần Len Việt Nam,Công ty Cổ phần Len Việt Nam,"67,15%","67,15%",28.259.101.159,(28.259.101.159),(*),"67,15%","67,15%",28.259.101.159,-,0.6715000000000001,0.6715000000000001,28259101159.0,-28259101159.0,,0.6715000000000001,0.6715000000000001,28259101159.0,
Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,Công ty con > Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,Công ty Cổ phần Sản xuất Kinh doanh Nguyên liệu Đệt May Việt Nam,"61,63%","61,63%",24.852.076.451,(7.805.231.920),(*),"61,63%","61,63%",24.852.076.451,-,0.6163000000000001,0.6163000000000001,24852076451.0,-7805231920.0,,0.6163000000000001,0.6163000000000001,24852076451.0,
