row_label_raw,row_label_full,col_0,1/1/2017 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp/được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2017 VND,numeric__1/1/2017 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2017 VND
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,200.464.761,-,3.799.662.806,(3.704.074.056),-,296.053.511,200464761.0,,3799662806.0,-3704074056.0,,296053511.0
+ Thuế môn bài,+ Thuế môn bài,+ Thuế môn bài,-,-,9.000.000,(9.000.000),-,-,,,9000000.0,-9000000.0,,
Văn phòng Hà Nội,Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,3.000.000,(3.000.000),-,-,,,3000000.0,-3000000.0,,
Trung tâm XLNT KCN Đệt May Phố Nói,Trung tâm XLNT KCN Đệt May Phố Nói,Trung tâm XLNT KCN Đệt May Phố Nói,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,200.464.761,-,3.789.693.563,(3.694.104.813),-,296.053.511,200464761.0,,3789693563.0,-3694104813.0,,296053511.0
Văn phòng,Văn phòng,Văn phòng,136.104.799,-,3.181.488.419,(3.123.539.907),-,194.053.311,136104799.0,,3181488419.0,-3123539907.0,,194053311.0
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,46.259.020,-,413.129.898,(388.481.031),-,70.907.887,46259020.0,,413129898.0,-388481031.0,,70907887.0
Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,17.363.779,-,60.955.507,(62.353.481),-,15.965.805,17363779.0,,60955507.0,-62353481.0,,15965805.0
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,181.607,-,122.453.072,(118.327.875),-,4.306.804,181607.0,,122453072.0,-118327875.0,,4306804.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,555.556,-,11.666.667,(1.402.519),-,10.819.704,555556.0,,11666667.0,-1402519.0,,10819704.0
+ Thuế bảo vệ môi trường,+ Thuế bảo vệ môi trường,+ Thuế bảo vệ môi trường,-,-,969.243,(969.243),-,-,,,969243.0,-969243.0,,
Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,-,-,969.243,(969.243),-,-,,,969243.0,-969243.0,,
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,,
Tiền thuê đất,Các khoản phải nộp khác > Tiền thuê đất,Tiền thuê đất,-,-,6.926.303.896,(6.926.303.896),-,-,,,6926303896.0,-6926303896.0,,
Văn phòng Hà Nội,Các khoản phải nộp khác > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,4.226.653.435,(4.226.653.435),-,-,,,4226653435.0,-4226653435.0,,
Văn phòng Hồ Chí Minh,Các khoản phải nộp khác > Văn phòng Hồ Chí Minh,Văn phòng Hồ Chí Minh,-,-,2.699.650.461,(2.699.650.461),-,-,,,2699650461.0,-2699650461.0,,
,,,659.530.633,48.754.137.869,15.522.392.744,(16.947.842.748),(47.692.164.987),296.053.511,659530633.0,48754137869.0,15522392744.0,-16947842748.0,-47692164987.0,296053511.0
