row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,471.636.796.240,1.146.838.940.956,48.417.663.440,33.809.430.686,1.700.702.831.322,471636796240.0,1146838940956.0,48417663440.0,33809430686.0,1700702831322.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,749.705.336,837.149.835,4.936.454.541,7.826.361.511,14.349.671.223,749705336.0,837149835.0,4936454541.0,7826361511.0,14349671223.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,33.025.791.199,28.088.169.667,1.022.096.852,502.458.941,62.638.516.659,33025791199.0,28088169667.0,1022096852.0,502458941.0,62638516659.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,9.316.515.363,(9.990.798.238),56.162.935,618.119.940,-,9316515363.0,-9990798238.0,56162935.0,618119940.0,
Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,Nguyên giá > Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,-,(142.896.605.192),(3.490.899.996),(41.363.636),(146.428.868.824),,-142896605192.0,-3490899996.0,-41363636.0,-146428868824.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,514.728.808.138,1.022.876.857.028,50.941.477.772,42.715.007.442,1.631.262.150.380,514728808138.0,1022876857028.0,50941477772.0,42715007442.0,1631262150380.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,181.368.550.900,275.412.312.617,20.225.206.717,13.800.048.762,490.806.118.996,181368550900.0,275412312617.0,20225206717.0,13800048762.0,490806118996.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,20.203.934.864,68.501.865.429,4.510.652.895,3.659.378.695,96.875.831.883,20203934864.0,68501865429.0,4510652895.0,3659378695.0,96875831883.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,347.686.664,(480.108.453),-,132.421.789,-,347686664.0,-480108453.0,,132421789.0,
Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,Giá trị hao mòn lũy kế > Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,Điều chuyển tài sản cho Công ty TNHH Tổng Công ty Đệt May Miền Bắc – Vinatex,-,(142.718.441.791),(3.223.442.635),(41.363.636),(145.983.248.062),,-142718441791.0,-3223442635.0,-41363636.0,-145983248062.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,201.920.172.428,200.715.627.802,21.512.416.977,17.550.485.610,441.698.702.817,201920172428.0,200715627802.0,21512416977.0,17550485610.0,441698702817.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,290.268.245.340,871.426.628.339,28.192.456.723,20.009.381.924,1.209.896.712.326,290268245340.0,871426628339.0,28192456723.0,20009381924.0,1209896712326.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,312.808.635.710,822.161.229.226,29.429.060.795,25.164.521.832,1.189.563.447.563,312808635710.0,822161229226.0,29429060795.0,25164521832.0,1189563447563.0
