row_label_raw,row_label_full,col_0,Nămđáo hạn,31/12/2017VND,1/1/2017VNDĐã điều chỉnh lại,numeric__Nămđáo hạn,numeric__31/12/2017VND,numeric__1/1/2017VNDĐã điều chỉnh lại
Phải thu về cho vay từ các công ty con,Phải thu về cho vay từ các công ty con,Phải thu về cho vay từ các công ty con,Phải thu về cho vay từ các công ty con,Phải thu về cho vay từ các công ty con,Phải thu về cho vay từ các công ty con,,,
Tổng Công ty Cổ phần Phong Phú (i),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Phong Phú (i),Tổng Công ty Cổ phần Phong Phú (i),2035,530.212.340.697,521.421.854.424,2035.0,530212340697.0,521421854424.0
Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 1 (i),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 1 (i),Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 1 (i),2035,216.610.041.473,213.132.524.928,2035.0,216610041473.0,213132524928.0
Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 2 (ii),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 2 (ii),Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 2 (ii),2019 - 2028,104.848.000.000,104.848.000.000,,104848000000.0,104848000000.0
Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 3 (ii),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 3 (ii),Tổng Công ty Cổ phần Dệt May Hà Nội – Khoản 3 (ii),2019 - 2027,32.084.000.000,32.084.000.000,,32084000000.0,32084000000.0
Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),Tổng Công ty Cổ phần Dệt May Hòa Thọ (i),2035,213.279.884.378,209.863.483.956,2035.0,213279884378.0,209863483956.0
Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 1 (i),2036,134.052.944.101,19.767.954.996,2036.0,134052944101.0,19767954996.0
Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2 (iii),Phải thu về cho vay từ các công ty con > Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2 (iii),Tổng Công ty Cổ phần Dệt May Nam Định – Khoản 2 (iii),2023,64.999.388.608,-,2023.0,64999388608.0,
Công ty Cổ phần Dệt May Huế (i),Phải thu về cho vay từ các công ty con > Công ty Cổ phần Dệt May Huế (i),Công ty Cổ phần Dệt May Huế (i),2035,81.036.653.097,79.734.628.980,2035.0,81036653097.0,79734628980.0
Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt May (iv),Phải thu về cho vay từ các công ty con > Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt May (iv),Công ty Cổ phần Sản xuất Xuất nhập khẩu Dệt May (iv),2019,75.987.039.404,75.987.039.404,2019.0,75987039404.0,75987039404.0
Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 1 (i),Phải thu về cho vay từ các công ty con > Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 1 (i),Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 1 (i),2035,75.758.982.254,74.541.769.608,2035.0,75758982254.0,74541769608.0
Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 2,Phải thu về cho vay từ các công ty con > Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 2,Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 2,2020,-,26.889.814.936,2020.0,,26889814936.0
Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 3 (v),Phải thu về cho vay từ các công ty con > Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 3 (v),Công ty TNHH Nhà nước Một thành viên Dệt 8-3 – Khoản 3 (v),2020,63.576.562.952,86.776.562.952,2020.0,63576562952.0,86776562952.0
Công ty TNHH Một thành viên Dệt Kim Đông Xuân (i),Phải thu về cho vay từ các công ty con > Công ty TNHH Một thành viên Dệt Kim Đông Xuân (i),Công ty TNHH Một thành viên Dệt Kim Đông Xuân (i),2035,59.996.692.397,37.239.832.800,2035.0,59996692397.0,37239832800.0
Phải thu về cho vay từ các bên khác,Phải thu về cho vay từ các công ty con > Phải thu về cho vay từ các bên khác,Phải thu về cho vay từ các bên khác,,-,391.000.000,,,391000000.0
