row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,4.281.049,219.319,44.292,4.544.660,4281049.0,219319.0,44292.0,4544660.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,30.540,4.530,35.070,,30540.0,4530.0,35070.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(215),28.515,(17.311),10.989,-215.0,28515.0,-17311.0,10989.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(217),(267),(484),,-217.0,-267.0,-484.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.280.834,278.157,31.244,4.590.235,4280834.0,278157.0,31244.0,4590235.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.963,199.642,32.295,237.900,5963.0,199642.0,32295.0,237900.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,21.057,1.503,22.718,158.0,21057.0,1503.0,22718.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,-,25.369,(14.440),10.929,,25369.0,-14440.0,10929.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(217),(267),(484),,-217.0,-267.0,-484.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.121,245.851,19.091,271.063,6121.0,245851.0,19091.0,271063.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.275.086,19.677,11.997,4.306.760,4275086.0,19677.0,11997.0,4306760.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.274.713,32.306,12.153,4.319.172,4274713.0,32306.0,12153.0,4319172.0
