row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),Quá hạn > Trên 3 tháng,Quá hạn > Dưới 3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ 1 đến 3 tháng,Trong hạn > Từ 3 đến 12 tháng,Trong hạn > Từ 1 đến 5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng cộng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Dưới 3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ 1 đến 3 tháng,numeric__Trong hạn > Từ 3 đến 12 tháng,numeric__Trong hạn > Từ 1 đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,-,1.754.801,-,-,-,-,1.754.801,,,1754801.0,,,,,1754801.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,10.163.244,-,-,-,-,10.163.244,,,10163244.0,,,,,10163244.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,32.388.970,1.280.412,39.108,-,-,33.708.490,,,32388970.0,1280412.0,39108.0,,,33708490.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,3.889,-,-,-,-,3.889,,,3889.0,,,,,3889.0
Các công cụ tài chính phải sinh,Tài sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,-,(7.433),31.687,148.692,-,-,172.946,,,-7433.0,31687.0,148692.0,,,172946.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.907.705,4.923.937,18.085.112,27.031.555,58.917.358,81.072.401,70.223.608,265.161.676,4907705.0,4923937.0,18085112.0,27031555.0,58917358.0,81072401.0,70223608.0,265161676.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,350.000,-,1.611.452,2.000.000,1.004.168,8.776.120,8.597.297,22.339.037,350000.0,,1611452.0,2000000.0,1004168.0,8776120.0,8597297.0,22339037.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,-,-,-,-,-,165.891,165.891,,,,,,,165891.0,165891.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,1.608.500,245,10.061,224.901,2.973.799,4.817.506,,,1608500.0,245.0,10061.0,224901.0,2973799.0,4817506.0
Tài sản cố khác - gộp,Tài sản > Tài sản cố khác - gộp,Tài sản cố khác - gộp,892.013,-,21.411.675,3.426.254,5.461.849,181.979,6.572,31.380.342,892013.0,,21411675.0,3426254.0,5461849.0,181979.0,6572.0,31380342.0
,,,6.149.718,4.923.937,87.020.210,33.770.153,65.581.236,90.255.401,81.967.167,369.667.822,6149718.0,4923937.0,87020210.0,33770153.0,65581236.0,90255401.0,81967167.0,369667822.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủvà Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủvà Ngân hàng Nhà nước,Các khoản nợ Chính phủvà Ngân hàng Nhà nước,-,-,-,192.367,532.704,-,-,725.071,,,,192367.0,532704.0,,,725071.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,27.848.514,12.307.983,7.824.579,537.674,104.999,48.623.749,,,27848514.0,12307983.0,7824579.0,537674.0,104999.0,48623749.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,66.076.449,40.263.915,108.518.654,44.374.626,3.102,259.236.746,,,66076449.0,40263915.0,108518654.0,44374626.0,3102.0,259236746.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,9.143,52.466,134.943,1.664.879,648.256,2.509.687,,,9143.0,52466.0,134943.0,1664879.0,648256.0,2509687.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.653.000,2.900.000,6.040.414,9.614.780,6.524.570,26.732.764,,,1653000.0,2900000.0,6040414.0,9614780.0,6524570.0,26732764.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,8.918.858,-,-,-,-,8.918.858,,,8918858.0,,,,,8918858.0
,,,-,-,104.505.964,55.716.731,123.051.294,56.191.959,7.280.927,346.746.875,,,104505964.0,55716731.0,123051294.0,56191959.0,7280927.0,346746875.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,6.149.718,4.923.937,(17.485.754),(21.946.578),(57.470.058),34.063.442,74.686.240,22.920.947,6149718.0,4923937.0,-17485754.0,-21946578.0,-57470058.0,34063442.0,74686240.0,22920947.0
