row_label_raw,row_label_full,col_0,31/12/2019Triệu VND,%,31/12/2018Triệu VND,%_1,numeric__31/12/2019Triệu VND,numeric__%,numeric__31/12/2018Triệu VND,numeric__%_1
Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,Cho vay các tổ chức kinh tế,,,,
Công ty nhà nước,Cho vay các tổ chức kinh tế > Công ty nhà nước,Công ty nhà nước,15.875.254,"5,99",18.624.232,"8,58",15875254.0,5.99,18624232.0,8.58
Công ty TNHH,Cho vay các tổ chức kinh tế > Công ty TNHH,Công ty TNHH,49.455.701,"18,65",36.912.609,"17,01",49455701.0,18.65,36912609.0,17.01
Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),Cho vay các tổ chức kinh tế > Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối),11.010.448,"4,15",13.093.719,"6,03",11010448.0,4.15,13093719.0,6.03
Công ty cổ phần khác,Cho vay các tổ chức kinh tế > Công ty cổ phần khác,Công ty cổ phần khác,119.620.270,"45,11",88.514.778,"40,79",119620270.0,45.11,88514778.0,40.79
Công ty hợp danh,Cho vay các tổ chức kinh tế > Công ty hợp danh,Công ty hợp danh,169.067,"0,06",99.079,"0,05",169067.0,0.06,99079.0,0.05
Doanh nghiệp tư nhân,Cho vay các tổ chức kinh tế > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,3.883.948,"1,46",3.614.431,"1,67",3883948.0,1.46,3614431.0,1.67
Doanh nghiệp có vốn đầu tư nước ngoài,Cho vay các tổ chức kinh tế > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,431.670,"0,16",462.659,"0,21",431670.0,0.16,462659.0,0.21
Hợp tác xã và liên hiệp hợp tác xã,Cho vay các tổ chức kinh tế > Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,370.416,"0,14",49.403,"0,02",370416.0,0.14,49403.0,0.02
Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,Cho vay cá nhân,,,,
"Hộ kinh doanh, cá nhân","Cho vay cá nhân > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",63.801.902,"24,07",53.724.350,"24,77",63801902.0,24.07,53724350.0,24.77
Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,Cho vay khác,,,,
Thành phần kinh tế khác,Cho vay khác > Thành phần kinh tế khác,Thành phần kinh tế khác,543.000,"0,21",1.893.621,"0,87",543000.0,0.21,1893621.0,0.87
,,,265.161.676,"100,00",216.988.881,"100,00",265161676.0,100.0,216988881.0,100.0
