row_label_raw,row_label_full,Tín dụng,Đầu tư,Dịch vụ,Kinh doanh vàhuy động vốn,Tổng cộng,numeric__Đầu tư,numeric__Dịch vụ,numeric__Kinh doanh vàhuy động vốn,numeric__Tổng cộng
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
24.567.122,Triệu VND > 24.567.122,24.567.122,3.190.634,679.419,1.130.266,29.567.441,3190634.0,679419.0,1130266.0,29567441.0
270.233.255,Triệu VND > 270.233.255,270.233.255,22.901.446,205.923,45.452.598,338.793.222,22901446.0,205923.0,45452598.0,338793222.0
17.577.018,Triệu VND > 17.577.018,17.577.018,41.364,8.714.027,128.687,26.461.096,41364.0,8714027.0,128687.0,26461096.0
287.810.273,Triệu VND > 287.810.273,287.810.273,22.942.810,8.919.950,45.581.285,365.254.318,22942810.0,8919950.0,45581285.0,365254318.0
455.067,Triệu VND > 455.067,455.067,-,41.484,345.722.454,346.219.005,,41484.0,345722454.0,346219005.0
350.939,Triệu VND > 350.939,350.939,823,173.546,2.562,527.870,823.0,173546.0,2562.0,527870.0
806.006,Triệu VND > 806.006,806.006,823,215.030,345.725.016,346.746.875,823.0,215030.0,345725016.0,346746875.0
19.775.398,Triệu VND > 19.775.398,19.775.398,2.789.181,495.869,996.871,24.057.319,2789181.0,495869.0,996871.0,24057319.0
222.664.611,Triệu VND > 222.664.611,222.664.611,50.338.997,224.536,35.791.387,309.019.531,50338997.0,224536.0,35791387.0,309019531.0
6.876.514,Triệu VND > 6.876.514,6.876.514,60.715,2.820.233,4.499.015,14.256.477,60715.0,2820233.0,4499015.0,14256477.0
229.541.125,Triệu VND > 229.541.125,229.541.125,50.399.712,3.044.769,40.290.402,323.276.008,50399712.0,3044769.0,40290402.0,323276008.0
408.430,Triệu VND > 408.430,408.430,-,94.370,305.667.212,306.170.012,,94370.0,305667212.0,306170012.0
373.487,Triệu VND > 373.487,373.487,3.291,152.850,243.836,773.464,3291.0,152850.0,243836.0,773464.0
781.917,Triệu VND > 781.917,781.917,3.291,247.220,305.911.048,306.943.476,3291.0,247220.0,305911048.0,306943476.0
