row_label_raw,row_label_full,Miền BắcTriệu VND,Miền TrungTriệu VND,Miền NamTriệu VND,Nước ngoàiTriệu VND,Tổng cộngTriệu VND,numeric__Miền TrungTriệu VND,numeric__Miền NamTriệu VND,numeric__Nước ngoàiTriệu VND,numeric__Tổng cộngTriệu VND
5.202.513,5.202.513,5.202.513,349.964,1.941.786,336.176,7.830.439,349964.0,1941786.0,336176.0,7830439.0
558.484,558.484,558.484,27.023,71.318,37.281,694.106,27023.0,71318.0,37281.0,694106.0
140.071,140.071,140.071,3.260,16.698,(3.757),156.272,3260.0,16698.0,-3757.0,156272.0
464.123,464.123,464.123,3,23,-,464.149,3.0,23.0,,464149.0
128.748,128.748,128.748,13.061,87.880,12.047,241.736,13061.0,87880.0,12047.0,241736.0
2.334,2.334,2.334,-,-,-,2.334,,,,2334.0
(2.881.691),(2.881.691),(2.881.691),(281.448),(636.110),(152.483),(3.951.732),-281448.0,-636110.0,-152483.0,-3951732.0
3.614.582,3.614.582,3.614.582,111.863,1.481.595,229.264,5.437.304,111863.0,1481595.0,229264.0,5437304.0
(1.807.292),(1.807.292),(1.807.292),18.784,(645.487),23.031,(2.410.964),18784.0,-645487.0,23031.0,-2410964.0
1.807.290,1.807.290,1.807.290,130.647,836.108,252.295,3.026.340,130647.0,836108.0,252295.0,3026340.0
