row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2019 VND,Tỷ giá ngày > 31/12/2018 VND,numeric__Tỷ giá ngày > 31/12/2019 VND,numeric__Tỷ giá ngày > 31/12/2018 VND
USD,USD,USD,23.165,23.230,23165.0,23230.0
EUR,EUR,EUR,25.987,26.557,25987.0,26557.0
GBP,GBP,GBP,30.482,29.345,30482.0,29345.0
CHF,CHF,CHF,23.931,23.522,23931.0,23522.0
JPY,JPY,JPY,213,210,213.0,210.0
SGD,SGD,SGD,17.220,16.967,17220.0,16967.0
AUD,AUD,AUD,16.246,16.354,16246.0,16354.0
HKD,HKD,HKD,2.976,2.961,2976.0,2961.0
CAD,CAD,CAD,17.785,17.040,17785.0,17040.0
LAK,LAK,LAK,"2,607","2,716",2.607,2.716
THB,THB,THB,"778,7","714,4",778.7,714.4
