row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018(Triệu VND),VND,USD,EUR,Tiền tệ khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Tiền tệ khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,950.382,820.964,53.451,60.025,1.884.822,950382.0,820964.0,53451.0,60025.0,1884822.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,2.750.809,1.374.839,-,203.091,4.328.739,2750809.0,1374839.0,,203091.0,4328739.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,27.458.147,1.114.908,204.369,522.903,29.300.327,27458147.0,1114908.0,204369.0,522903.0,29300327.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,3.889,-,-,-,3.889,3889.0,,,,3889.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,2.354.997,(2.281.159),-,(15.610),58.228,2354997.0,-2281159.0,,-15610.0,58228.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,202.642.123,13.198.420,143.127,1.005.211,216.988.881,202642123.0,13198420.0,143127.0,1005211.0,216988881.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,49.954.145,-,-,-,49.954.145,49954145.0,,,,49954145.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",201.750,-,-,-,201.750,201750.0,,,,201750.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,4.770.780,13.844,-,7.810,4.792.434,4770780.0,13844.0,,7810.0,4792434.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,18.851.329,2.367.436,54.582,81.328,21.354.675,18851329.0,2367436.0,54582.0,81328.0,21354675.0
,,,309.938.351,16.609.252,455.529,1.864.758,328.867.890,309938351.0,16609252.0,455529.0,1864758.0,328867890.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,12.096.858,114.379,-,-,12.211.237,12096858.0,114379.0,,,12211237.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,36.242.521,8.374.572,-,316.696,44.933.789,36242521.0,8374572.0,,316696.0,44933789.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,213.952.015,10.879.492,247.221,145.413,225.224.141,213952015.0,10879492.0,247221.0,145413.0,225224141.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",1.330.584,-,143.127,-,1.473.711,1330584.0,,143127.0,,1473711.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,16.721.736,-,-,-,16.721.736,16721736.0,,,,16721736.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,5.316.621,985.675,-,76.566,6.378.862,5316621.0,985675.0,,76566.0,6378862.0
,,,285.660.335,20.354.118,390.348,538.675,306.943.476,285660335.0,20354118.0,390348.0,538675.0,306943476.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,24.278.016,(3.744.866),65.181,1.326.083,21.924.414,24278016.0,-3744866.0,65181.0,1326083.0,21924414.0
