row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP_1,Đã quá hạn nhưng chưa phải TLDP_2,Đã quá hạn nhưng chưa phải TLDP_3,Quá hạn và đã được TLDP đầy đủ,Tổng cộng,numeric__Chưa quá hạn và chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP,numeric__Đã quá hạn nhưng chưa phải TLDP_1,numeric__Đã quá hạn nhưng chưa phải TLDP_2,numeric__Đã quá hạn nhưng chưa phải TLDP_3,numeric__Quá hạn và đã được TLDP đầy đủ,numeric__Tổng cộng
(Triệu VND),(Triệu VND),(Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP đầy đủ,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,(Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,10.163.244,-,-,-,-,-,10.163.244,10163244.0,,,,,,10163244.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,(Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,33.708.490,-,-,-,-,-,33.708.490,33708490.0,,,,,,33708490.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,(Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,172.946,-,-,-,-,-,172.946,172946.0,,,,,,172946.0
Cho vay khách hàng - thuần,(Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,251.505.860,3.499.147,664.650,91.402,1.018.664,5.251.484,262.031.207,251505860.0,3499147.0,664650.0,91402.0,1018664.0,5251484.0,262031207.0
Chứng khoán đầu tư - thuần,(Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,21.374.790,-,-,-,-,201.066,21.575.856,21374790.0,,,,,201066.0,21575856.0
Tài sản tài chính khác - thuần,(Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,30.185.988,-,-,-,-,682.177,30.868.165,30185988.0,,,,,682177.0,30868165.0
,,,347.111.318,3.499.147,664.650,91.402,1.018.664,6.134.727,358.519.908,347111318.0,3499147.0,664650.0,91402.0,1018664.0,6134727.0,358519908.0
Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Đã quá hạn nhưng chưa phải TLDP,Quá hạn và đã được TLDP đầy đủ,Tổng cộng,,,,,,,
Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Tại ngày 31 tháng 12 năm 2018 (Triệu VND),Chưa quá hạn và chưa phải TLDP,Quá hạn từ 10 đến 90 ngày,Quá hạn từ 91 đến 180 ngày,Quá hạn từ 181 đến 360 ngày,Quá hạn trên 360 ngày,Quá hạn và đã được TLDP đầy đủ,Tổng cộng,,,,,,,
Tiền gửi tại Ngân hàng Nhà nước,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,4.328.739,-,-,-,-,-,4.328.739,4328739.0,,,,,,4328739.0
Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,Tiền gửi và cho vay các tổ chức tín dụng khác - thuần,29.300.327,-,-,-,-,-,29.300.327,29300327.0,,,,,,29300327.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,58.228,-,-,-,-,-,58.228,58228.0,,,,,,58228.0
Cho vay khách hàng - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Cho vay khách hàng - thuần,Cho vay khách hàng - thuần,205.315.165,3.733.699,50.339,444.088,1.362.465,3.080.896,213.986.652,205315165.0,3733699.0,50339.0,444088.0,1362465.0,3080896.0,213986652.0
Chứng khoán đầu tư - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Chứng khoán đầu tư - thuần,Chứng khoán đầu tư - thuần,47.951.362,-,-,-,-,75.000,48.026.362,47951362.0,,,,,75000.0,48026362.0
Tài sản tài chính khác - thuần,Tại ngày 31 tháng 12 năm 2018 (Triệu VND) > Tài sản tài chính khác - thuần,Tài sản tài chính khác - thuần,19.379.429,-,-,-,-,1.322.030,20.701.459,19379429.0,,,,,1322030.0,20701459.0
,,,306.333.250,3.733.699,50.339,444.088,1.362.465,4.477.926,316.401.767,306333250.0,3733699.0,50339.0,444088.0,1362465.0,4477926.0,316401767.0
