row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Năm kết thúc ngày 31 tháng 12 năm 2018","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền BắcTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền TrungTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền NamTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Nước ngoàiTriệu VND","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộngTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền BắcTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền TrungTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Miền NamTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Nước ngoàiTriệu VND","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2019 (tiếp theo) > Mẫu B05/TCTD-HN(Ban hành theo Thông tư số49/2014/TT-NHNN ngày 31 tháng 12 năm 2014của Ngân hàng Nhà nước Việt Nam) > Tổng cộngTriệu VND"
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,3.458.058,467.737,1.334.514,295.593,5.555.902,3458058.0,467737.0,1334514.0,295593.0,5555902.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,628.514,7.374,30.115,47.939,713.942,628514.0,7374.0,30115.0,47939.0,713942.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,48.790,1.973,11.285,(301),61.747,48790.0,1973.0,11285.0,-301.0,61747.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,277.881,-,-,-,277.881,277881.0,,,,277881.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,96.062,13.102,17.358,3.539,130.061,96062.0,13102.0,17358.0,3539.0,130061.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",2.202,-,-,-,2.202,2202.0,,,,2202.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(2.340.409),(234.860),(526.143),(121.379),(3.222.791),-2340409.0,-234860.0,-526143.0,-121379.0,-3222791.0
Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trướcchi phí dự phòng rủi ro tín dụng,2.171.098,255.326,867.129,225.391,3.518.944,2171098.0,255326.0,867129.0,225391.0,3518944.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(882.739),(131.589),(346.077),(64.686),(1.425.091),-882739.0,-131589.0,-346077.0,-64686.0,-1425091.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,1.288.359,123.737,521.052,160.705,2.093.853,1288359.0,123737.0,521052.0,160705.0,2093853.0
