row_label_raw,row_label_full,col_0,31/12/2019Triệu VND,31/12/2018Triệu VND,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VND
Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,Tiền gửi không kỳ hạn của các TCTD khác,,
Bằng VND,Tiền gửi không kỳ hạn của các TCTD khác > Bằng VND,Bằng VND,23.034.754,21.683.622,23034754.0,21683622.0
Bằng ngoại tệ,Tiền gửi không kỳ hạn của các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,199.205,8.321,199205.0,8321.0
Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,Tiền gửi có kỳ hạn của các TCTD khác,,
Bằng VND,Tiền gửi có kỳ hạn của các TCTD khác > Bằng VND,Bằng VND,5.920.619,7.208.000,5920619.0,7208000.0
Bằng ngoại tệ,Tiền gửi có kỳ hạn của các TCTD khác > Bằng ngoại tệ,Bằng ngoại tệ,2.471.054,2.452.240,2471054.0,2452240.0
,,,31.625.632,31.352.183,31625632.0,31352183.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,,
Vay các TCTD khác bằng VND,Vay các TCTD khác > Vay các TCTD khác bằng VND,Vay các TCTD khác bằng VND,5.661.238,6.630.754,5661238.0,6630754.0
Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác > Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác bằng ngoại tệ,-,209.069,,209069.0
Tiền vay từ các dự án tài chính (*),Vay các TCTD khác > Tiền vay từ các dự án tài chính (*),Tiền vay từ các dự án tài chính (*),1.129.766,651.811,1129766.0,651811.0
Phải trả trong nghiệp vụ thư tín dụng trả chậm,Vay các TCTD khác > Phải trả trong nghiệp vụ thư tín dụng trả chậm,Phải trả trong nghiệp vụ thư tín dụng trả chậm,10.207.113,6.089.972,10207113.0,6089972.0
,,,16.998.117,13.581.606,16998117.0,13581606.0
,,,48.623.749,44.933.789,48623749.0,44933789.0
