row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu VND,Phần mềm máy vi tính Triệu VND,Tài sản cố định vô hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Quyền sử dụng đất Triệu VND,numeric__Phần mềm máy vi tính Triệu VND,numeric__Tài sản cố định vô hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.486.801,211.811,39.877,3.738.489,3486801.0,211811.0,39877.0,3738489.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,795.166,10.226,4.368,809.760,795166.0,10226.0,4368.0,809760.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(918),(2.756),-,(3.674),-918.0,-2756.0,,-3674.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,38,47,85,,38.0,47.0,85.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.281.049,219.319,44.292,4.544.660,4281049.0,219319.0,44292.0,4544660.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.805,178.174,27.617,211.596,5805.0,178174.0,27617.0,211596.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,158,23.139,4.631,27.928,158.0,23139.0,4631.0,27928.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.709),-,(1.709),,-1709.0,,-1709.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,38,47,85,,38.0,47.0,85.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.963,199.642,32.295,237.900,5963.0,199642.0,32295.0,237900.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.480.996,33.637,12.260,3.526.893,3480996.0,33637.0,12260.0,3526893.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.275.086,19.677,11.997,4.306.760,4275086.0,19677.0,11997.0,4306760.0
