row_label_raw,row_label_full,col_0,Phân mềmmáy tính,numeric__Phân mềmmáy tính
,,,VND,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.282.752.000,6282752000.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,3.287.514.170,3287514170.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.570.266.170,9570266170.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,707.835.200,707835200.0
Hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Hao mòn trong năm,Hao mòn trong năm,1.896.373.234,1896373234.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.604.208.434,2604208434.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.574.916.800,5574916800.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.966.057.736,6966057736.0
