row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,835.287.500.000,5.000.000.000,292.100.556.756,4.132.388.056.756,3000000000000.0,835287500000.0,5000000000.0,292100556756.0,4132388056756.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,912.546.851.205,912.546.851.205,,,,912546851205.0,912546851205.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(780.000.000.000),(780.000.000.000),,,,-780000000000.0,-780000000000.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,(500.000.000),(500.000.000),,,,-500000000.0,-500000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,835.287.500.000,5.000.000.000,424.147.407.961,4.264.434.907.961,3000000000000.0,835287500000.0,5000000000.0,424147407961.0,4264434907961.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,835.287.500.000,5.000.000.000,424.147.407.961,4.264.434.907.961,3000000000000.0,835287500000.0,5000000000.0,424147407961.0,4264434907961.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,1.254.055.156.581,1.254.055.156.581,,,,1254055156581.0,1254055156581.0
Chia cổ tức (i),Chia cổ tức (i),Chia cổ tức (i),-,-,-,(600.000.000.000),(600.000.000.000),,,,-600000000000.0,-600000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,835.287.500.000,5.000.000.000,1.078.202.564.542,4.918.490.064.542,3000000000000.0,835287500000.0,5000000000.0,1078202564542.0,4918490064542.0
