row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,1.447.711.370.879,807.579.561.900,,100.0,,1447711370879.0,807579561900.0
I.,I.,I.,Tiền,110,4,359.308.639.737,17.129.349.002,,110.0,4.0,359308639737.0,17129349002.0
1.,1.,1.,Tiền,111,,359.308.639.737,17.129.349.002,,111.0,,359308639737.0,17129349002.0
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,942.714.412.406,774.935.915.077,,130.0,,942714412406.0,774935915077.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5,535.771.165.566,123.782.469.993,,131.0,5.0,535771165566.0,123782469993.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,,635.630.532,14.395.353.147,,132.0,,635630532.0,14395353147.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,6,405.000.000.000,400.000.000.000,,135.0,6.0,405000000000.0,400000000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,7,1.935.076.711,237.385.552.340,,136.0,7.0,1935076711.0,237385552340.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,,(627.460.403),(627.460.403),,137.0,,-627460403.0,-627460403.0
III.,III.,III.,Hàng tồn kho,140,8,130.807.200.558,-,,140.0,8.0,130807200558.0,
1.,1.,1.,Hàng tồn kho,141,,130.807.200.558,-,,141.0,,130807200558.0,
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,14.881.118.178,15.514.297.821,,150.0,,14881118178.0,15514297821.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,9,737.172.008,1.677.051.732,,151.0,9.0,737172008.0,1677051732.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,2.370.280.094,2.063.580.013,,152.0,,2370280094.0,2063580013.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,11.773.666.076,11.773.666.076,,153.0,15.0,11773666076.0,11773666076.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.862.556.855.354,6.806.328.432.840,,200.0,,5862556855354.0,6806328432840.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,10.000.000,10.000.000,,210.0,,10000000.0,10000000.0
1.,1.,1.,Phải thu dài hạn khác,216,7,10.000.000,10.000.000,,216.0,7.0,10000000.0,10000000.0
II.,II.,II.,Tài sản cố định,220,,12.551.220.454,8.732.160.919,,220.0,,12551220454.0,8732160919.0
1.,1.,1.,Tài sản cố định hữu hình,221,10,5.585.162.718,3.157.244.119,,221.0,10.0,5585162718.0,3157244119.0
,,,- Nguyên giá,222,,9.312.451.969,5.285.562.719,,222.0,,9312451969.0,5285562719.0
,,,- Giá trị hao mòn lũy kế,223,,(3.727.289.251),(2.128.318.600),,223.0,,-3727289251.0,-2128318600.0
2.,2.,2.,Tài sản cố định vô hình,227,11,6.966.057.736,5.574.916.800,,227.0,11.0,6966057736.0,5574916800.0
,,,- Nguyên giá,228,,9.570.266.170,6.282.752.000,,228.0,,9570266170.0,6282752000.0
,,,- Giá trị hao mòn lũy kế,229,,(2.604.208.434),(707.835.200),,229.0,,-2604208434.0,-707835200.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,2.222.924.980,3.287.514.170,,240.0,,2222924980.0,3287514170.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,12,2.222.924.980,3.287.514.170,,242.0,12.0,2222924980.0,3287514170.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,13,5.840.087.258.502,6.782.144.117.717,,250.0,13.0,5840087258502.0,6782144117717.0
1.,1.,1.,Đầu tư vào công ty con,251,,4.649.937.895.744,5.798.868.150.428,,251.0,,4649937895744.0,5798868150428.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,1.238.396.869.099,1.111.361.869.099,,253.0,,1238396869099.0,1111361869099.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(48.247.506.341),(128.085.901.810),,254.0,,-48247506341.0,-128085901810.0
V.,V.,V.,Tài sản dài hạn khác,260,,7.685.451.418,12.154.640.034,,260.0,,7685451418.0,12154640034.0
1.,1.,1.,Chi phí trả trước dài hạn,261,9,7.685.451.418,12.154.640.034,,261.0,9.0,7685451418.0,12154640034.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,7.310.268.226.233,7.613.907.994.740,,270.0,,7310268226233.0,7613907994740.0
