row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,420.528.062.534,-,420528062534.0,
Tổng Công ty Điện lực Miền Bắc,Tổng Công ty Điện lực Miền Bắc,Tổng Công ty Điện lực Miền Bắc,43.112.652.855,962.886.100,43112652855.0,962886100.0
Công ty Cổ phần Sản xuất Máy biển áp Truyền tải MEE,Công ty Cổ phần Sản xuất Máy biển áp Truyền tải MEE,Công ty Cổ phần Sản xuất Máy biển áp Truyền tải MEE,36.230.999.745,-,36230999745.0,
Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,20.920.707.500,-,20920707500.0,
Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,-,97.557.026.424,,97557026424.0
Công ty TNHH MTV Điện lực Hải Dương,Công ty TNHH MTV Điện lực Hải Dương,Công ty TNHH MTV Điện lực Hải Dương,-,12.682.969.360,,12682969360.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,14.978.742.932,12.579.588.109,14978742932.0,12579588109.0
,,,535.771.165.566,123.782.469.993,535771165566.0,123782469993.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 29),Trong đó: > Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 29),Phải thu ngắn hạn của khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 29),471.110.344.808,109.509.154.130,471110344808.0,109509154130.0
